Position,SampleID,ScannerResult,Status
A01,vine_000365_01,AL11833642,ok
B01,vine_000249_01,AL11833654,ok
C01,vine_000477_01,AL11833666,ok
D01,vine_000410_01,AL11833678,ok
E01,vine_000399_01,AL11833690,ok
F01,vine_000294_01,AL11833702,ok
G01,vine_000370_01,AL11833714,ok
H01,vine_000097_01,AL11833726,ok
A02,vine_000293_01,AL11833643,ok
B02,vine_000393_01,AL11833655,ok
C02,vine_000321_01,AL11833667,ok
D02,vine_000129_01,AL11833679,ok
E02,vine_000468_01,AL11833691,ok
F02,vine_000337_01,AL11833703,ok
G02,vine_000487_01,AL11833715,ok
H02,vine_000275_01,AL11833727,ok
A03,vine_000229_01,AL11833644,ok
B03,vine_000371_01,AL11833656,ok
C03,vine_000258_01,AL11833668,ok
D03,vine_000481_01,AL11833680,ok
E03,vine_000486_01,AL11833692,ok
F03,vine_000317_01,AL11833704,ok
G03,vine_000499_01,AL11833716,ok
H03,vine_000082_01,AL11833728,ok
A04,vine_000306_01,AL11833645,ok
B04,vine_000494_01,AL11833657,ok
C04,vine_000240_01,AL11833669,ok
D04,vine_000373_01,AL11833681,ok
E04,vine_000403_01,AL11833693,ok
F04,vine_000091_01,AL11833705,ok
G04,vine_000469_01,AL11833717,ok
H04,vine_000281_01,AL11833729,ok
A05,vine_000224_01,AL11833646,ok
B05,vine_000169_01,AL11833658,ok
C05,vine_000126_01,AL11833670,ok
D05,vine_000418_01,AL11833682,ok
E05,vine_000444_01,AL11833694,ok
F05,vine_000492_01,AL11833706,ok
G05,vine_000094_01,AL11833718,ok
H05,vine_000383_01,AL11833730,ok
A06,vine_000108_01,AL11833647,ok
B06,vine_000402_01,AL11833659,ok
C06,vine_000266_01,AL11833671,ok
D06,vine_000433_01,AL11833683,ok
E06,vine_000201_01,AL11833695,ok
F06,vine_000443_01,AL11833707,ok
G06,vine_000409_01,AL11833719,ok
H06,vine_000251_01,AL11833731,ok
A07,vine_000475_01,AL11833648,ok
B07,vine_000496_01,AL11833660,ok
C07,vine_000297_01,AL11833672,ok
D07,vine_000466_01,AL11833684,ok
E07,vine_000384_01,AL11833696,ok
F07,vine_000493_01,AL11833708,ok
G07,vine_000377_01,AL11833720,ok
H07,,AL11833732,ok
A08,,AL11833649,ok
B08,,AL11833661,ok
C08,,AL11833673,ok
D08,,AL11833685,ok
E08,,AL11833697,ok
F08,,AL11833709,ok
G08,,AL11833721,ok
H08,,AL11833733,ok
A09,,AL11833650,ok
B09,,AL11833662,ok
C09,,AL11833674,ok
D09,,AL11833686,ok
E09,,AL11833698,ok
F09,,AL11833710,ok
G09,,AL11833722,ok
H09,,AL11833734,ok
A10,,AL11833651,ok
B10,,AL11833663,ok
C10,,AL11833675,ok
D10,,AL11833687,ok
E10,,AL11833699,ok
F10,,AL11833711,ok
G10,,AL11833723,ok
H10,,AL11833735,ok
A11,,AL11833652,ok
B11,,AL11833664,ok
C11,,AL11833676,ok
D11,,AL11833688,ok
E11,,AL11833700,ok
F11,,AL11833712,ok
G11,,AL11833724,ok
H11,,AL11833736,ok
A12,,AL11833653,ok
B12,,AL11833665,ok
C12,,AL11833677,ok
D12,,AL11833689,ok
E12,,AL11833701,ok
F12,,AL11833713,ok
G12,,AL11833725,ok
H12,,AL11833737,ok
