A01,dbgi_008997_01
B01,dbgi_007688_01
C01,dbgi_007629_01
D01,dbgi_008858_01
E01,dbgi_007617_01
F01,dbgi_008978_01
G01,dbgi_007623_01
H01,dbgi_007621_01
A02,dbgi_007799_01
B02,dbgi_007779_01
C02,dbgi_007642_01
D02,dbgi_008981_01
E02,dbgi_008863_01
F02,dbgi_007691_01
G02,dbgi_008996_01
H02,dbgi_007661_01
A03,dbgi_007835_01
B03,dbgi_007619_01
C03,dbgi_007644_01
D03,dbgi_007188_01
E03,dbgi_008989_01
F03,dbgi_007654_01
G03,dbgi_008995_01
H03,dbgi_007626_01
A04,dbgi_007812_01
B04,dbgi_008962_01
C04,dbgi_007600_01
D04,dbgi_008861_01
E04,dbgi_007657_01
F04,dbgi_007647_01
G04,dbgi_007836_01
H04,dbgi_008963_01
A05,dbgi_007611_01
B05,dbgi_007622_01
C05,dbgi_008992_01
D05,dbgi_008990_01
E05,dbgi_007596_01
F05,dbgi_007837_01
G05,dbgi_008987_01
H05,dbgi_008866_01
A06,dbgi_007724_01
B06,dbgi_007675_01
C06,dbgi_007670_01
D06,dbgi_007755_01
E06,dbgi_007748_01
F06,dbgi_007660_01
G06,dbgi_007800_01
H06,dbgi_007632_01
A07,dbgi_007636_01
B07,dbgi_007766_01
C07,dbgi_007714_01
D07,dbgi_007540_01
E07,dbgi_007715_01
F07,dbgi_007565_01
G07,dbgi_007706_01
H07,dbgi_007658_01
A08,dbgi_007823_01
B08,dbgi_007854_01
C08,dbgi_007855_01
D08,dbgi_007829_01
E08,dbgi_007824_01
F08,dbgi_007809_01
G08,dbgi_007651_01
H08,dbgi_007740_01
A09,dbgi_007570_01
B09,dbgi_007591_02
C09,dbgi_007591_01
D09,dbgi_008860_02
E09,dbgi_007505_01
F09,dbgi_007773_01
G09,dbgi_008869_01
H09,dbgi_008860_01
A10,dbgi_007856_01
B10,dbgi_007605_01
C10,dbgi_008984_01
D10,dbgi_007631_01
E10,dbgi_007845_01
F10,dbgi_007507_01
G10,dbgi_007601_02
H10,dbgi_008980_01
A11,dbgi_007618_01
B11,dbgi_008873_01
C11,dbgi_007566_01
D11,dbgi_007498_01
E11,dbgi_008960_01
F11,dbgi_007652_01
G11,dbgi_007648_01
H11,dbgi_007522_01
A12,dbgi_007601_01
B12,dbgi_007639_01
C12,dbgi_007586_01
D12,dbgi_008864_01
E12,dbgi_008865_01
F12,dbgi_007513_01
G12,dbgi_008985_01
H12,dbgi_002747_01
