A01,dbgi_002930_01
B01,dbgi_002238_01
C01,dbgi_001930_01
D01,dbgi_002649_01
E01,dbgi_001179_01
F01,dbgi_001932_01
G01,dbgi_001223_01
H01,dbgi_002291_01
A02,dbgi_002384_01
B02,dbgi_002920_01
C02,dbgi_002957_01
D02,dbgi_002631_01
E02,dbgi_002587_01
F02,dbgi_002573_01
G02,dbgi_002630_01
H02,dbgi_002681_01
A03,dbgi_001907_01
B03,dbgi_002262_01
C03,dbgi_002408_01
D03,dbgi_002617_01
E03,dbgi_001117_01
F03,dbgi_002435_01
G03,dbgi_001242_01
H03,dbgi_002368_01
A04,dbgi_002926_01
B04,dbgi_002565_01
C04,dbgi_002426_01
D04,dbgi_002931_01
E04,dbgi_002297_01
F04,dbgi_000929_01
G04,dbgi_002937_01
H04,dbgi_002639_01
A05,dbgi_002540_01
B05,dbgi_002563_01
C05,dbgi_002412_01
D05,dbgi_002347_01
E05,dbgi_002657_01
F05,dbgi_002293_01
G05,dbgi_002302_01
H05,dbgi_001749_01
A06,dbgi_002925_01
B06,dbgi_002316_01
C06,dbgi_001121_01
D06,dbgi_001226_01
E06,dbgi_001233_01
F06,dbgi_002570_01
G06,dbgi_002678_01
H06,dbgi_001248_01
A07,dbgi_batch_blk_000005
B07,dbgi_002716_01
C07,dbgi_002610_01
D07,dbgi_001918_01
E07,dbgi_002718_01
F07,dbgi_002995_01
G07,dbgi_002701_01
H07,dbgi_002264_01
A08,dbgi_002544_01
B08,dbgi_002555_01
C08,dbgi_001779_01
D08,dbgi_003059_01
E08,dbgi_002893_01
F08,dbgi_002609_01
G08,dbgi_003000_01
H08,dbgi_001219_01
A09,dbgi_002708_01
B09,dbgi_002539_01
C09,dbgi_002271_01
D09,dbgi_002719_01
E09,dbgi_002706_01
F09,dbgi_001802_01
G09,dbgi_002546_01
H09,dbgi_001901_01
A10,dbgi_002594_01
B10,dbgi_002568_01
C10,dbgi_002662_01
D10,dbgi_001879_01
E10,dbgi_001807_01
F10,dbgi_001759_01
G10,dbgi_002394_01
H10,dbgi_002575_01
A11,dbgi_002590_01
B11,dbgi_002538_01
C11,dbgi_003005_01
D11,dbgi_002669_01
E11,dbgi_001849_01
F11,dbgi_002258_01
G11,dbgi_003061_01
H11,dbgi_001934_01
A12,dbgi_002971_01
B12,dbgi_002577_01
C12,dbgi_001919_01
D12,dbgi_002627_01
E12,dbgi_001834_01
F12,dbgi_002280_01
G12,dbgi_batch_blk_000003
H12,dbgi_002644_01
