Position,SampleID,ScannerResult,Status
A01,dbgi_000034_01,AL11867818,ok
B01,dbgi_000035_01,AL11867830,ok
C01,dbgi_000033_01,AL11867842,ok
D01,dbgi_000030_01,AL11867854,ok
E01,dbgi_000028_01,AL11867866,ok
F01,dbgi_000008_01,AL11867878,ok
G01,dbgi_000026_01,AL11867890,ok
H01,dbgi_000029_01,AL11867902,ok
A02,dbgi_000010_01,AL11867819,ok
B02,dbgi_000500_01,AL11867831,ok
C02,dbgi_000480_01,AL11867843,ok
D02,dbgi_000453_01,AL11867855,ok
E02,dbgi_000024_01,AL11867867,ok
F02,dbgi_000465_01,AL11867879,ok
G02,dbgi_000554_01,AL11867891,ok
H02,dbgi_000467_01,AL11867903,ok
A03,dbgi_000404_01,AL11867820,ok
B03,dbgi_000447_01,AL11867832,ok
C03,dbgi_000403_01,AL11867844,ok
D03,dbgi_000456_01,AL11867856,ok
E03,dbgi_000394_01,AL11867868,ok
F03,dbgi_000420_01,AL11867880,ok
G03,dbgi_000458_01,AL11867892,ok
H03,dbgi_000414_01,AL11867904,ok
A04,dbgi_000422_01,AL11867821,ok
B04,dbgi_000502_01,AL11867833,ok
C04,dbgi_000452_01,AL11867845,ok
D04,dbgi_000383_01,AL11867857,ok
E04,dbgi_000396_01,AL11867869,ok
F04,dbgi_000476_01,AL11867881,ok
G04,dbgi_000432_01,AL11867893,ok
H04,dbgi_000380_01,AL11867905,ok
A05,dbgi_000477_01,AL11867822,ok
B05,dbgi_000450_01,AL11867834,ok
C05,dbgi_000434_01,AL11867846,ok
D05,dbgi_000473_01,AL11867858,ok
E05,dbgi_000406_01,AL11867870,ok
F05,dbgi_000399_01,AL11867882,ok
G05,dbgi_000438_01,AL11867894,ok
H05,dbgi_000878_01,AL11867906,ok
A06,dbgi_000386_01,AL11867823,ok
B06,dbgi_000387_01,AL11867835,ok
C06,dbgi_000462_01,AL11867847,ok
D06,dbgi_000525_01,AL11867859,ok
E06,dbgi_000531_02,AL11867871,ok
F06,dbgi_00424_02,AL11867883,ok
G06,dbgi_000559_02,AL11867895,ok
H06,dbgi_000560_01,AL11867907,ok
A07,dbgi_000504_01,AL11867824,ok
B07,dbgi_000888_02,AL11867836,ok
C07,dbgi_000472_02,AL11867848,ok
D07,dbgi_000467_02,AL11867860,ok
E07,dbgi_000387_02,AL11867872,ok
F07,dbgi_000477_02,AL11867884,ok
G07,dbgi_000478_02,AL11867896,ok
H07,dbgi_000876_02,AL11867908,ok
A08,dbgi_000407_02,AL11867825,ok
B08,dbgi_000399_02,AL11867837,ok
C08,dbgi_000521_02,AL11867849,ok
D08,dbgi_000532_01,AL11867861,ok
E08,dbgi_000551_01,AL11867873,ok
F08,dbgi_000418_01,AL11867885,ok
G08,dbgi_000509_01,AL11867897,ok
H08,dbgi_000548_01,AL11867909,ok
A09,dbgi_000893_01,AL11867826,ok
B09,dbgi_000553_01,AL11867838,ok
C09,dbgi_000894_01,AL11867850,ok
D09,dbgi_000440_01,AL11867862,ok
E09,dbgi_000413_01,AL11867874,ok
F09,dbgi_000887_01,AL11867886,ok
G09,dbgi_000454_01,AL11867898,ok
H09,dbgi_000416_01,AL11867910,ok
A10,dbgi_000557_01,AL11867827,ok
B10,dbgi_000431_01,AL11867839,ok
C10,dbgi_000886_01,AL11867851,ok
D10,dbgi_000898_01,AL11867863,ok
E10,dbgi_000381_01,AL11867875,ok
F10,dbgi_000408_01,AL11867887,ok
G10,dbgi_000443_01,AL11867899,ok
H10,dbgi_000890_01,AL11867911,ok
A11,dbgi_000469_01,AL11867828,ok
B11,dbgi_000558_01,AL11867840,ok
C11,dbgi_000495_01,AL11867852,ok
D11,dbgi_000874_01,AL11867864,ok
E11,dbgi_000487_01,AL11867876,ok
F11,dbgi_000537_01,AL11867888,ok
G11,dbgi_000498_01,AL11867900,ok
H11,dbgi_000522_01,AL11867912,ok
A12,dbgi_000428_01,AL11867829,ok
B12,dbgi_000524_01,AL11867841,ok
C12,dbgi_000555_01,AL11867853,ok
D12,dbgi_000552_01,AL11867865,ok
E12,dbgi_000471_01,AL11867877,ok
F12,dbgi_000410_01,AL11867889,ok
G12,dbgi_000398_01,AL11867901,ok
H12,dbgi_000489_01,AL11867913,ok
