A01,dbgi_002876_01
B01,dbgi_002769_01
C01,dbgi_003037_01
D01,dbgi_002781_01
E01,dbgi_002815_01
F01,dbgi_002819_01
G01,dbgi_002847_01
H01,dbgi_002918_01
A02,dbgi_002922_01
B02,dbgi_002836_01
C02,dbgi_003047_01
D02,dbgi_002758_01
E02,dbgi_002763_01
F02,dbgi_003001_01
G02,dbgi_002855_01
H02,dbgi_002834_01
A03,dbgi_002753_01
B03,dbgi_002984_01
C03,dbgi_002858_01
D03,dbgi_002783_01
E03,dbgi_002818_01
F03,dbgi_002895_01
G03,dbgi_002549_01
H03,dbgi_002991_01
A04,dbgi_002792_01
B04,dbgi_002973_01
C04,dbgi_002825_01
D04,dbgi_002902_01
E04,dbgi_002907_01
F04,dbgi_002882_01
G04,dbgi_002873_01
H04,dbgi_002927_01
A05,dbgi_002905_01
B05,dbgi_002820_01
C05,dbgi_002837_01
D05,dbgi_003017_01
E05,dbgi_002749_01
F05,dbgi_002896_01
G05,dbgi_002980_01
H05,dbgi_003092_01
A06,dbgi_002824_01
B06,dbgi_002754_01
C06,dbgi_002851_01
D06,dbgi_002759_01
E06,dbgi_002887_01
F06,dbgi_002803_01
G06,dbgi_002831_01
H06,dbgi_002969_01
A07,dbgi_002872_01
B07,dbgi_002846_01
C07,dbgi_002946_02
D07,dbgi_003120_01
E07,dbgi_002832_01
F07,dbgi_002813_01
G07,dbgi_002870_01
H07,dbgi_002996_01
A08,dbgi_002841_01
B08,dbgi_003006_01
C08,dbgi_003027_01
D08,dbgi_002928_01
E08,dbgi_003002_01
F08,dbgi_003095_01
G08,dbgi_003070_01
H08,dbgi_003084_01
A09,dbgi_002892_01
B09,dbgi_002875_01
C09,dbgi_003073_01
D09,dbgi_002919_01
E09,dbgi_002844_01
F09,dbgi_002853_01
G09,dbgi_003057_01
H09,dbgi_002823_01
A10,dbgi_batch_blk_000007
B10,dbgi_001211_01
C10,dbgi_001172_01
D10,dbgi_001234_01
E10,dbgi_001241_01
F10,dbgi_001154_01
G10,dbgi_001207_01
H10,dbgi_002306_01
A11,dbgi_001171_01
B11,dbgi_001810_01
C11,dbgi_001132_01
D11,dbgi_001218_01
E11,dbgi_001056_01
F11,dbgi_001047_01
G11,dbgi_001058_01
H11,dbgi_001224_01
A12,dbgi_001138_01
B12,dbgi_001206_01
C12,dbgi_002324_01
D12,dbgi_001217_01
E12,dbgi_001048_01
F12,dbgi_001205_01
G12,dbgi_001896_01
H12,dbgi_001155_01
