Position,SampleID,ScannerResult,Status
A01,dbgi_002713_01,AL11868202,ok
B01,dbgi_002998_01,AL11868214,ok
C01,dbgi_002787_01,AL11868226,ok
D01,dbgi_002612_01,AL11868238,ok
E01,dbgi_002582_01,AL11868250,ok
F01,dbgi_002574_01,AL11868262,ok
G01,dbgi_001204_01,AL11868274,ok
H01,dbgi_001854_01,AL11868286,ok
A02,dbgi_002717_01,AL11868203,ok
B02,dbgi_002817_01,AL11868215,ok
C02,dbgi_002586_01,AL11868227,ok
D02,dbgi_002720_01,AL11868239,ok
E02,dbgi_002664_01,AL11868251,ok
F02,dbgi_002577_02,AL11868263,ok
G02,dbgi_001892_01,AL11868275,ok
H02,dbgi_003044_01,AL11868287,ok
A03,dbgi_002596_01,AL11868204,ok
B03,dbgi_002722_01,AL11868216,ok
C03,dbgi_002647_02,AL11868228,ok
D03,dbgi_002676_01,AL11868240,ok
E03,dbgi_002673_01,AL11868252,ok
F03,dbgi_002856_01,AL11868264,ok
G03,dbgi_002752_01,AL11868276,ok
H03,dbgi_003102_01,AL11868288,ok
A04,dbgi_002584_01,AL11868205,ok
B04,dbgi_002908_01,AL11868217,ok
C04,dbgi_002798_01,AL11868229,ok
D04,dbgi_002243_01,AL11868241,ok
E04,dbgi_002562_01,AL11868253,ok
F04,dbgi_002889_01,AL11868265,ok
G04,dbgi_002860_01,AL11868277,ok
H04,dbgi_001874_01,AL11868289,ok
A05,dbgi_002684_01,AL11868206,ok
B05,dbgi_002903_01,AL11868218,ok
C05,dbgi_002883_01,AL11868230,ok
D05,dbgi_002911_01,AL11868242,ok
E05,dbgi_002741_01,AL11868254,ok
F05,dbgi_003104_01,AL11868266,ok
G05,dbgi_002835_01,AL11868278,ok
H05,dbgi_001883_01,AL11868290,ok
A06,dbgi_002672_01,AL11868207,ok
B06,dbgi_002793_01,AL11868219,ok
C06,dbgi_002884_01,AL11868231,ok
D06,dbgi_002579_01,AL11868243,ok
E06,dbgi_002571_01,AL11868255,ok
F06,dbgi_002800_01,AL11868267,ok
G06,dbgi_003089_01,AL11868279,ok
H06,dbgi_001770_01,AL11868291,ok
A07,dbgi_002556_01,AL11868208,ok
B07,dbgi_002559_01,AL11868220,ok
C07,dbgi_002679_01,AL11868232,ok
D07,dbgi_002703_01,AL11868244,ok
E07,dbgi_002533_01,AL11868256,ok
F07,dbgi_002591_01,AL11868268,ok
G07,dbgi_002611_01,AL11868280,ok
H07,dbgi_002269_01,AL11868292,ok
A08,dbgi_002520_01,AL11868209,ok
B08,dbgi_002460_01,AL11868221,ok
C08,dbgi_002507_01,AL11868233,ok
D08,dbgi_001776_01,AL11868245,ok
E08,dbgi_001877_01,AL11868257,ok
F08,dbgi_001808_01,AL11868269,ok
G08,dbgi_001803_01,AL11868281,ok
H08,dbgi_001796_01,AL11868293,ok
A09,dbgi_002524_01,AL11868210,ok
B09,dbgi_002737_01,AL11868222,ok
C09,dbgi_002428_01,AL11868234,ok
D09,dbgi_002744_01,AL11868246,ok
E09,dbgi_002470_01,AL11868258,ok
F09,dbgi_002480_01,AL11868270,ok
G09,dbgi_002477_01,AL11868282,ok
H09,dbgi_001755_01,AL11868294,ok
A10,dbgi_002430_01,AL11868211,ok
B10,dbgi_002459_01,AL11868223,ok
C10,dbgi_002569_01,AL11868235,ok
D10,dbgi_001782_01,AL11868247,ok
E10,dbgi_002620_01,AL11868259,ok
F10,dbgi_002285_01,AL11868271,ok
G10,dbgi_002522_01,AL11868283,ok
H10,dbgi_001882_01,AL11868295,ok
A11,dbgi_002541_01,AL11868212,ok
B11,dbgi_002456_01,AL11868224,ok
C11,dbgi_002616_01,AL11868236,ok
D11,dbgi_002710_01,AL11868248,ok
E11,dbgi_002550_01,AL11868260,ok
F11,dbgi_002730_01,AL11868272,ok
G11,dbgi_001760_01,AL11868284,ok
H11,dbgi_001787_01,AL11868296,ok
A12,dbgi_002446_01,AL11868213,ok
B12,dbgi_002564_01,AL11868225,ok
C12,dbgi_002578_01,AL11868237,ok
D12,dbgi_002707_01,AL11868249,ok
E12,dbgi_002736_01,AL11868261,ok
F12,dbgi_002529_01,AL11868273,ok
G12,dbgi_002513_01,AL11868285,ok
H12,dbgi_001043_01,AL11868297,ok
