Position,SampleID,ScannerResult,Status
A01,dbgi_007463_01,AL11853226,ok
B01,dbgi_007435_01,AL11853238,ok
C01,dbgi_003218_01,AL11853250,ok
D01,dbgi_007356_01,AL11853262,ok
E01,dbgi_007451_01,AL11853274,ok
F01,dbgi_007358_01,AL11853286,ok
G01,dbgi_007466_01,AL11853298,ok
H01,dbgi_007359_01,AL11853310,ok
A02,dbgi_007412_01,AL11853227,ok
B02,dbgi_003127_01,AL11853239,ok
C02,dbgi_007376_01,AL11853251,ok
D02,dbgi_003128_01,AL11853263,ok
E02,dbgi_007471_02,AL11853275,ok
F02,dbgi_007316_01,AL11853287,ok
G02,dbgi_007431_01,AL11853299,ok
H02,dbgi_007389_01,AL11853311,ok
A03,dbgi_003137_01,AL11853228,ok
B03,dbgi_007314_01,AL11853240,ok
C03,dbgi_003158_01,AL11853252,ok
D03,dbgi_003172_01,AL11853264,ok
E03,dbgi_007364_01,AL11853276,ok
F03,dbgi_007470_01,AL11853288,ok
G03,dbgi_007490_01,AL11853300,ok
H03,dbgi_007552_01,AL11853312,ok
A04,dbgi_007454_01,AL11853229,ok
B04,dbgi_007297_01,AL11853241,ok
C04,dbgi_002838_01,AL11853253,ok
D04,dbgi_007459_01,AL11853265,ok
E04,dbgi_007461_01,AL11853277,ok
F04,dbgi_003146_01,AL11853289,ok
G04,dbgi_007288_01,AL11853301,ok
H04,dbgi_007408_01,AL11853313,ok
A05,dbgi_007469_01,AL11853230,ok
B05,blk_000043,AL11853242,ok
C05,dbgi_007352_01,AL11853254,ok
D05,dbgi_007542_01,AL11853266,ok
E05,dbgi_007443_01,AL11853278,ok
F05,dbgi_007484_01,AL11853290,ok
G05,dbgi_007453_01,AL11853302,ok
H05,dbgi_007367_01,AL11853314,ok
A06,dbgi_007392_01,AL11853231,ok
B06,dbgi_007483_01,AL11853243,ok
C06,dbgi_007413_01,AL11853255,ok
D06,dbgi_007415_01,AL11853267,ok
E06,dbgi_007424_01,AL11853279,ok
F06,dbgi_007402_01,AL11853291,ok
G06,dbgi_007357_01,AL11853303,ok
H06,dbgi_007460_01,AL11853315,ok
A07,dbgi_003205_01,AL11853232,ok
B07,dbgi_007406_07,AL11853244,ok
C07,dbgi_003199_01,AL11853256,ok
D07,dbgi_007542_01,AL11853268,ok
E07,dbgi_007485_01,AL11853280,ok
F07,dbgi_007346_01,AL11853292,ok
G07,dbgi_007379_01,AL11853304,ok
H07,dbgi_007430_01,AL11853316,ok
A08,dbgi_007290_01,AL11853233,ok
B08,dbgi_007397_01,AL11853245,ok
C08,dbgi_007371_01,AL11853257,ok
D08,dbgi_007462_01,AL11853269,ok
E08,dbgi_007365_01,AL11853281,ok
F08,dbgi_007306_01,AL11853293,ok
G08,dbgi_007478_01,AL11853305,ok
H08,dbgi_007377_01,AL11853317,ok
A09,dbgi_007395_01,AL11853234,ok
B09,dbgi_007378_01,AL11853246,ok
C09,dbgi_007381_01,AL11853258,ok
D09,dbgi_007400_01,AL11853270,ok
E09,dbgi_007493_01,AL11853282,ok
F09,dbgi_003076_01,AL11853294,ok
G09,dbgi_007287_01,AL11853306,ok
H09,dbgi_007340_01,AL11853318,ok
A10,dbgi_007456_01,AL11853235,ok
B10,dbgi_003085_01,AL11853247,ok
C10,dbgi_007361_01,AL11853259,ok
D10,dbgi_007373_01,AL11853271,ok
E10,dbgi_007421_01,AL11853283,ok
F10,dbgi_007380_01,AL11853295,ok
G10,dbgi_007374_01,AL11853307,ok
H10,dbgi_007468_01,AL11853319,ok
A11,dbgi_007296_01,AL11853236,ok
B11,dbgi_007272_01,AL11853248,ok
C11,dbgi_007193_01,AL11853260,ok
D11,dbgi_003097_01,AL11853272,ok
E11,dbgi_007432_01,AL11853284,ok
F11,dbgi_007197_01,AL11853296,ok
G11,dbgi_003221_01,AL11853308,ok
H11,dbgi_007258_01,AL11853320,ok
A12,dbgi_007239_01,AL11853237,ok
B12,dbgi_007409_01,AL11853249,ok
C12,dbgi_007224_01,AL11853261,ok
D12,dbgi_007198_01,AL11853273,ok
E12,dbgi_007252_01,AL11853285,ok
F12,dbgi_007205_01,AL11853297,ok
G12,dbgi_007244_01,AL11853309,ok
H12,dbgi_003161_01,AL11853321,ok
