A01,dbgi_000034_01
B01,dbgi_000035_01
C01,dbgi_000033_01
D01,dbgi_000030_01
E01,dbgi_000028_01
F01,dbgi_000008_01
G01,dbgi_000026_01
H01,dbgi_000029_01
A02,dbgi_000010_01
B02,dbgi_000500_01
C02,dbgi_000480_01
D02,dbgi_000453_01
E02,dbgi_000024_01
F02,dbgi_000465_01
G02,dbgi_000554_01
H02,dbgi_000467_01
A03,dbgi_000404_01
B03,dbgi_000447_01
C03,dbgi_000403_01
D03,dbgi_000456_01
E03,dbgi_000394_01
F03,dbgi_000420_01
G03,dbgi_000458_01
H03,dbgi_000414_01
A04,dbgi_000422_01
B04,dbgi_000502_01
C04,dbgi_000452_01
D04,dbgi_000383_01
E04,dbgi_000396_01
F04,dbgi_000476_01
G04,dbgi_000432_01
H04,dbgi_000380_01
A05,dbgi_000477_01
B05,dbgi_000450_01
C05,dbgi_000434_01
D05,dbgi_000473_01
E05,dbgi_000406_01
F05,dbgi_000399_01
G05,dbgi_000438_01
H05,dbgi_000878_01
A06,dbgi_000386_01
B06,dbgi_000387_01
C06,dbgi_000462_01
D06,dbgi_000525_01
E06,dbgi_000531_02
F06,dbgi_00424_02
G06,dbgi_000559_02
H06,dbgi_000560_01
A07,dbgi_000504_01
B07,dbgi_000888_02
C07,dbgi_000472_02
D07,dbgi_000467_02
E07,dbgi_000387_02
F07,dbgi_000477_02
G07,dbgi_000478_02
H07,dbgi_000876_02
A08,dbgi_000407_02
B08,dbgi_000399_02
C08,dbgi_000521_02
D08,dbgi_000532_01
E08,dbgi_000551_01
F08,dbgi_000418_01
G08,dbgi_000509_01
H08,dbgi_000548_01
A09,dbgi_000893_01
B09,dbgi_000553_01
C09,dbgi_000894_01
D09,dbgi_000440_01
E09,dbgi_000413_01
F09,dbgi_000887_01
G09,dbgi_000454_01
H09,dbgi_000416_01
A10,dbgi_000557_01
B10,dbgi_000431_01
C10,dbgi_000886_01
D10,dbgi_000898_01
E10,dbgi_000381_01
F10,dbgi_000408_01
G10,dbgi_000443_01
H10,dbgi_000890_01
A11,dbgi_000469_01
B11,dbgi_000558_01
C11,dbgi_000495_01
D11,dbgi_000874_01
E11,dbgi_000487_01
F11,dbgi_000537_01
G11,dbgi_000498_01
H11,dbgi_000522_01
A12,dbgi_000428_01
B12,dbgi_000524_01
C12,dbgi_000555_01
D12,dbgi_000552_01
E12,dbgi_000471_01
F12,dbgi_000410_01
G12,dbgi_000398_01
H12,dbgi_000489_01
