Position,SampleID,ScannerResult,Status
A01,dbgi_002935_01,AL11853514,ok
B01,dbgi_002647_01,AL11853526,ok
C01,dbgi_002688_01,AL11853538,ok
D01,dbgi_001920_01,AL11853550,ok
E01,dbgi_003066_01,AL11853562,ok
F01,dbgi_002393_01,AL11853574,ok
G01,dbgi_002580_01,AL11853586,ok
H01,dbgi_001771_01,AL11853598,ok
A02,dbgi_002742_01,AL11853515,ok
B02,dbgi_001819_01,AL11853527,ok
C02,dbgi_002581_01,AL11853539,ok
D02,dbgi_002640_01,AL11853551,ok
E02,dbgi_batch_blk_000001,AL11853563,ok
F02,dbgi_003020_01,AL11853575,ok
G02,dbgi_001843_01,AL11853587,ok
H02,dbgi_002621_01,AL11853599,ok
A03,dbgi_002686_01,AL11853516,ok
B03,dbgi_002383_01,AL11853528,ok
C03,dbgi_002633_01,AL11853540,ok
D03,dbgi_001818_01,AL11853552,ok
E03,dbgi_002981_01,AL11853564,ok
F03,dbgi_002370_01,AL11853576,ok
G03,dbgi_001852_01,AL11853588,ok
H03,dbgi_002601_01,AL11853600,ok
A04,dbgi_003015_01,AL11853517,ok
B04,dbgi_002561_01,AL11853529,ok
C04,dbgi_002721_01,AL11853541,ok
D04,dbgi_003009_01,AL11853553,ok
E04,dbgi_002745_01,AL11853565,ok
F04,dbgi_002554_01,AL11853577,ok
G04,dbgi_002965_01,AL11853589,ok
H04,dbgi_batch_blk_000002,AL11853601,ok
A05,dbgi_001165_01,AL11853518,ok
B05,blk_000028,AL11853530,ok
C05,dbgi_001113_01,AL11853542,ok
D05,dbgi_001757_01,AL11853554,ok
E05,dbgi_000975_01,AL11853566,ok
F05,dbgi_002283_01,AL11853578,ok
G05,dbgi_001830_01,AL11853590,ok
H05,dbgi_001055_01,AL11853602,ok
A06,dbgi_001120_01,AL11853519,ok
B06,dbgi_002333_01,AL11853531,ok
C06,dbgi_002295_01,AL11853543,ok
D06,dbgi_002367_01,AL11853555,ok
E06,dbgi_001814_01,AL11853567,ok
F06,dbgi_002337_01,AL11853579,ok
G06,dbgi_001909_01,AL11853591,ok
H06,dbgi_002307_01,AL11853603,ok
A07,dbgi_002289_01,AL11853520,ok
B07,dbgi_001853_01,AL11853532,ok
C07,dbgi_002372_01,AL11853544,ok
D07,dbgi_002376_01,AL11853556,ok
E07,dbgi_002334_01,AL11853568,ok
F07,dbgi_001911_01,AL11853580,ok
G07,dbgi_001811_01,AL11853592,ok
H07,dbgi_001815_01,AL11853604,ok
A08,dbgi_002346_01,AL11853521,ok
B08,dbgi_003203_01,AL11853533,ok
C08,dbgi_003219_01,AL11853545,ok
D08,dbgi_002301_01,AL11853557,ok
E08,dbgi_002242_01,AL11853569,ok
F08,dbgi_002530_01,AL11853581,ok
G08,dbgi_003105_01,AL11853593,ok
H08,dbgi_001899_01,AL11853605,ok
A09,dbgi_001905_01,AL11853522,ok
B09,dbgi_003099_01,AL11853534,ok
C09,dbgi_003141_01,AL11853546,ok
D09,dbgi_002638_01,AL11853558,ok
E09,dbgi_003222_01,AL11853570,ok
F09,dbgi_003088_01,AL11853582,ok
G09,dbgi_002263_01,AL11853594,ok
H09,dbgi_002381_01,AL11853606,ok
A10,dbgi_003168_01,AL11853523,ok
B10,dbgi_002362_01,AL11853535,ok
C10,dbgi_002436_01,AL11853547,ok
D10,dbgi_002311_01,AL11853559,ok
E10,dbgi_002495_01,AL11853571,ok
F10,dbgi_002377_01,AL11853583,ok
G10,dbgi_002867_02,AL11853595,ok
H10,dbgi_002976_01,AL11853607,ok
A11,dbgi_003216_01,AL11853524,ok
B11,dbgi_002494_01,AL11853536,ok
C11,dbgi_002260_01,AL11853548,ok
D11,dbgi_002259_01,AL11853560,ok
E11,dbgi_002517_01,AL11853572,ok
F11,dbgi_002518_01,AL11853584,ok
G11,dbgi_002398_01,AL11853596,ok
H11,dbgi_002273_01,AL11853608,ok
A12,dbgi_002281_01,AL11853525,ok
B12,dbgi_002485_01,AL11853537,ok
C12,dbgi_002945_01,AL11853549,ok
D12,dbgi_002248_01,AL11853561,ok
E12,dbgi_002344_01,AL11853573,ok
F12,dbgi_002402_01,AL11853585,ok
G12,dbgi_002378_01,AL11853597,ok
H12,dbgi_002327_01,AL11853609,ok
