Position,SampleID,ScannerResult,Status
A01,dbgi_002343_01,AL11868394,ok
B01,dbgi_001042_01,AL11868406,ok
C01,dbgi_001885_01,AL11868418,ok
D01,dbgi_002254_01,AL11868430,ok
E01,dbgi_001222_01,AL11868442,ok
F01,dbgi_001050_01,AL11868454,ok
G01,dbgi_001237_01,AL11868466,ok
H01,dbgi_001225_01,AL11868478,ok
A02,dbgi_001824_01,AL11868395,ok
B02,blk_000029,AL11868407,ok
C02,dbgi_001240_01,AL11868419,ok
D02,dbgi_001129_01,AL11868431,ok
E02,dbgi_001046_01,AL11868443,ok
F02,dbgi_001752_01,AL11868455,ok
G02,dbgi_001236_01,AL11868467,ok
H02,dbgi_001750_01,AL11868479,ok
A03,dbgi_002331_01,AL11868396,ok
B03,dbgi_002299_01,AL11868408,ok
C03,dbgi_001227_01,AL11868420,ok
D03,dbgi_001238_01,AL11868432,ok
E03,dbgi_002252_01,AL11868444,ok
F03,dbgi_001209_01,AL11868456,ok
G03,dbgi_001228_01,AL11868468,ok
H03,dbgi_001181_01,AL11868480,ok
A04,dbgi_001753_01,AL11868397,ok
B04,dbgi_001921_01,AL11868409,ok
C04,dbgi_001230_01,AL11868421,ok
D04,dbgi_001247_01,AL11868433,ok
E04,dbgi_001754_01,AL11868445,ok
F04,dbgi_001239_01,AL11868457,ok
G04,dbgi_000430_01,AL11868469,ok
H04,dbgi_000470_01,AL11868481,ok
A05,dbgi_001005_01,AL11868398,ok
B05,dbgi_001123_01,AL11868410,ok
C05,dbgi_000911_01,AL11868422,ok
D05,dbgi_000092_02,AL11868434,ok
E05,dbgi_000022_02,AL11868446,ok
F05,dbgi_000058_02,AL11868458,ok
G05,dbgi_000033_02,AL11868470,ok
H05,dbgi_000046_02,AL11868482,ok
A06,dbgi_001133_01,AL11868399,ok
B06,dbgi_001137_01,AL11868411,ok
C06,dbgi_001124_01,AL11868423,ok
D06,dbgi_001118_01,AL11868435,ok
E06,dbgi_001114_01,AL11868447,ok
F06,dbgi_001052_01,AL11868459,ok
G06,dbgi_001126_01,AL11868471,ok
H06,dbgi_000014_02,AL11868483,ok
A07,dbgi_000408_02,AL11868400,ok
B07,dbgi_000425_02,AL11868412,ok
C07,dbgi_000499_02,AL11868424,ok
D07,dbgi_000403_02,AL11868436,ok
E07,dbgi_001130_01,AL11868448,ok
F07,dbgi_001135_01,AL11868460,ok
G07,dbgi_001128_01,AL11868472,ok
H07,dbgi_001131_01,AL11868484,ok
A08,dbgi_000498_02,AL11868401,ok
B08,dbgi_000463_01,AL11868413,ok
C08,dbgi_000519_01,AL11868425,ok
D08,dbgi_000511_01,AL11868437,ok
E08,dbgi_000541_02,AL11868449,ok
F08,dbgi_000497_02,AL11868461,ok
G08,dbgi_000507_01,AL11868473,ok
H08,dbgi_000883_01,AL11868485,ok
A09,dbgi_000888_01,AL11868402,ok
B09,dbgi_000880_01,AL11868414,ok
C09,dbgi_000385_01,AL11868426,ok
D09,dbgi_000891_01,AL11868438,ok
E09,dbgi_000407_01,AL11868450,ok
F09,dbgi_000445_01,AL11868462,ok
G09,dbgi_000873_01,AL11868474,ok
H09,dbgi_000496_01,AL11868486,ok
A10,dbgi_000514_01,AL11868403,ok
B10,dbgi_000523_01,AL11868415,ok
C10,dbgi_000421_01,AL11868427,ok
D10,dbgi_000531_01,AL11868439,ok
E10,dbgi_000040_01,AL11868451,ok
F10,dbgi_000043_01,AL11868463,ok
G10,dbgi_000048_01,AL11868475,ok
H10,dbgi_000071_01,AL11868487,ok
A11,dbgi_000108_01,AL11868404,ok
B11,dbgi_000116_01,AL11868416,ok
C11,dbgi_000059_01,AL11868428,ok
D11,dbgi_000065_01,AL11868440,ok
E11,dbgi_000112_02,AL11868452,ok
F11,dbgi_000010_02,AL11868464,ok
G11,dbgi_000064_02,AL11868476,ok
H11,dbgi_000039_02,AL11868488,ok
A12,dbgi_000119_01,AL11868405,ok
B12,dbgi_000047_01,AL11868417,ok
C12,dbgi_000105_01,AL11868429,ok
D12,dbgi_000053_01,AL11868441,ok
E12,dbgi_000052_01,AL11868453,ok
F12,dbgi_000046_01,AL11868465,ok
G12,dbgi_000067_01,AL11868477,ok
H12,dbgi_000069_01,AL11868489,ok
