Position,SampleID,ScannerResult,Status
A01,fibl_000095_02,AL11829418,ok
B01,fibl_000085_02,AL11829430,ok
C01,fibl_000091_02,AL11829442,ok
D01,fibl_000097_02,AL11829454,ok
E01,fibl_000089_02,AL11829466,ok
F01,fibl_000083_02,AL11829478,ok
G01,fibl_000093_02,AL11829490,ok
H01,fibl_000087_02,AL11829502,ok
A02,fibl_000094_01,AL11829419,ok
B02,fibl_000086_01,AL11829431,ok
C02,fibl_000081_01,AL11829443,ok
D02,fibl_000096_01,AL11829455,ok
E02,fibl_000084_01,AL11829467,ok
F02,fibl_000090_01,AL11829479,ok
G02,fibl_000088_01,AL11829491,ok
H02,fibl_000092_01,AL11829503,ok
A03,fibl_000093_03,AL11829420,ok
B03,fibl_000085_03,AL11829432,ok
C03,fibl_000095_03,AL11829444,ok
D03,fibl_000089_03,AL11829456,ok
E03,fibl_000091_03,AL11829468,ok
F03,fibl_000083_03,AL11829480,ok
G03,fibl_000087_03,AL11829492,ok
H03,fibl_000097_03,AL11829504,ok
A04,fibl_000063_01,AL11829421,ok
B04,fibl_000110_01,AL11829433,ok
C04,fibl_000115_01,AL11829445,ok
D04,fibl_000116_01,AL11829457,ok
E04,fibl_000104_01,AL11829469,ok
F04,fibl_000111_01,AL11829481,ok
G04,fibl_000102_01,AL11829493,ok
H04,fibl_000071_01,AL11829505,ok
A05,fibl_000078_01,AL11829422,ok
B05,fibl_000060_01,AL11829434,ok
C05,fibl_000062_01,AL11829446,ok
D05,fibl_000099_01,AL11829458,ok
E05,fibl_000013_01,AL11829470,ok
F05,fibl_000068_01,AL11829482,ok
G05,fibl_000100_01,AL11829494,ok
H05,fibl_000017_01,AL11829506,ok
A06,fibl_000112_01,AL11829423,ok
B06,fibl_000038_01,AL11829435,ok
C06,fibl_000015_01,AL11829447,ok
D06,fibl_000001_01,AL11829459,ok
E06,fibl_000064_01,AL11829471,ok
F06,fibl_000012_01,AL11829483,ok
G06,fibl_000051_01,AL11829495,ok
H06,fibl_000061_01,AL11829507,ok
A07,fibl_000058_01,AL11829424,ok
B07,fibl_000030_01,AL11829436,ok
C07,fibl_000057_01,AL11829448,ok
D07,fibl_000074_01,AL11829460,ok
E07,fibl_000004_01,AL11829472,ok
F07,fibl_000026_01,AL11829484,ok
G07,fibl_000036_01,AL11829496,ok
H07,fibl_000056_01,AL11829508,ok
A08,fibl_000046_01,AL11829425,ok
B08,fibl_000019_01,AL11829437,ok
C08,fibl_000054_01,AL11829449,ok
D08,fibl_000047_01,AL11829461,ok
E08,fibl_000117_01,AL11829473,ok
F08,fibl_000072_01,AL11829485,ok
G08,fibl_000066_01,AL11829497,ok
H08,fibl_000044_01,AL11829509,ok
A09,fibl_000080_01,AL11829426,ok
B09,fibl_000079_01,AL11829438,ok
C09,fibl_000037_01,AL11829450,ok
D09,fibl_000049_01,AL11829462,ok
E09,fibl_000003_01,AL11829474,ok
F09,fibl_000029_01,AL11829486,ok
G09,fibl_000032_01,AL11829498,ok
H09,fibl_000010_01,AL11829510,ok
A10,fibl_000023_01,AL11829427,ok
B10,fibl_000007_01,AL11829439,ok
C10,fibl_000065_01,AL11829451,ok
D10,fibl_000050_01,AL11829463,ok
E10,fibl_000040_01,AL11829475,ok
F10,fibl_000105_01,AL11829487,ok
G10,fibl_000008_01,AL11829499,ok
H10,fibl_000109_01,AL11829511,ok
A11,fibl_000053_01,AL11829428,ok
B11,fibl_000011_01,AL11829440,ok
C11,fibl_000034_01,AL11829452,ok
D11,fibl_000048_01,AL11829464,ok
E11,fibl_000042_01,AL11829476,ok
F11,fibl_000025_01,AL11829488,ok
G11,fibl_000027_01,AL11829500,ok
H11,fibl_000002_01,AL11829512,ok
A12,fibl_000055_01,AL11829429,ok
B12,fibl_000069_01,AL11829441,ok
C12,fibl_000018_01,AL11829453,ok
D12,fibl_000052_01,AL11829465,ok
E12,fibl_000016_01,AL11829477,ok
F12,fibl_000076_01,AL11829489,ok
G12,fibl_000075_01,AL11829501,ok
H12,fibl_000035_01,AL11829513,ok
