Position,SampleID,ScannerResult,Status
A01,dbgi_001039_01,AL11833162,ok
B01,dbgi_001041_01,AL11833174,ok
C01,dbgi_001045_01,AL11833186,ok
D01,dbgi_001049_01,AL11833198,ok
E01,dbgi_001054_01,AL11833210,ok
F01,dbgi_001057_01,AL11833222,ok
G01,dbgi_001112_01,AL11833234,ok
H01,dbgi_001116_01,AL11833246,ok
A02,dbgi_001024_01,AL11833163,ok
B02,dbgi_001025_01,AL11833175,ok
C02,dbgi_001026_01,AL11833187,ok
D02,dbgi_001027_01,AL11833199,ok
E02,dbgi_001033_01,AL11833211,ok
F02,dbgi_001034_01,AL11833223,ok
G02,dbgi_001035_01,AL11833235,ok
H02,dbgi_001036_01,AL11833247,ok
A03,dbgi_001013_01,AL11833164,ok
B03,dbgi_001014_01,AL11833176,ok
C03,dbgi_001016_01,AL11833188,ok
D03,dbgi_001017_01,AL11833200,ok
E03,dbgi_001018_01,AL11833212,ok
F03,dbgi_001019_01,AL11833224,ok
G03,dbgi_001020_01,AL11833236,ok
H03,dbgi_001021_01,AL11833248,ok
A04,dbgi_000999_01,AL11833165,ok
B04,dbgi_001000_01,AL11833177,ok
C04,dbgi_001001_01,AL11833189,ok
D04,dbgi_001002_01,AL11833201,ok
E04,dbgi_001003_01,AL11833213,ok
F04,dbgi_001004_01,AL11833225,ok
G04,dbgi_001007_01,AL11833237,ok
H04,dbgi_001010_01,AL11833249,ok
A05,dbgi_000990_01,AL11833166,ok
B05,dbgi_000991_01,AL11833178,ok
C05,dbgi_000992_01,AL11833190,ok
D05,dbgi_000993_01,AL11833202,ok
E05,dbgi_000994_01,AL11833214,ok
F05,dbgi_000995_01,AL11833226,ok
G05,dbgi_000996_01,AL11833238,ok
H05,dbgi_000997_01,AL11833250,ok
A06,dbgi_000998_01,AL11833167,ok
B06,dbgi_001011_01,AL11833179,ok
C06,dbgi_01_04_038,AL11833191,ok
D06,dbgi_01_04_045,AL11833203,ok
E06,dbgi_01_04_044,AL11833215,ok
F06,dbgi_01_04_078,AL11833227,ok
G06,dbgi_01_04_048,AL11833239,ok
H06,dbgi_01_04_013,AL11833251,ok
A07,dbgi_01_04_079,AL11833168,ok
B07,dbgi_01_04_026,AL11833180,ok
C07,dbgi_01_11_006,AL11833192,ok
D07,dbgi_01_11_023,AL11833204,ok
E07,dbgi_01_04_067,AL11833216,ok
F07,dbgi_01_04_092,AL11833228,ok
G07,dbgi_01_04_031,AL11833240,ok
H07,dbgi_01_04_094,AL11833252,ok
A08,dbgi_01_11_022,AL11833169,ok
B08,dbgi_01_11_020,AL11833181,ok
C08,dbgi_01_04_095,AL11833193,ok
D08,dbgi_01_11_013,AL11833205,ok
E08,dbgi_01_04_077,AL11833217,ok
F08,dbgi_01_04_055,AL11833229,ok
G08,dbgi_000392_01,AL11833241,ok
H08,dbgi_000565_01,AL11833253,ok
A09,dbgi_000559_01,AL11833170,ok
B09,dbgi_000426_01,AL11833182,ok
C09,dbgi_000567_01,AL11833194,ok
D09,dbgi_000546_01,AL11833206,ok
E09,dbgi_000415_01,AL11833218,ok
F09,dbgi_000400_01,AL11833230,ok
G09,dbgi_000393_01,AL11833242,ok
H09,dbgi_000486_01,AL11833254,ok
A10,dbgi_000885_01,AL11833171,ok
B10,dbgi_000534_01,AL11833183,ok
C10,dbgi_000388_01,AL11833195,ok
D10,dbgi_000474_01,AL11833207,ok
E10,dbgi_000436_01,AL11833219,ok
F10,dbgi_001051_01,AL11833231,ok
G10,dbgi_001850_01,AL11833243,ok
H10,dbgi_002341_01,AL11833255,ok
A11,dbgi_002286_01,AL11833172,ok
B11,dbgi_003106_01,AL11833184,ok
C11,dbgi_002637_01,AL11833196,ok
D11,dbgi_002432_01,AL11833208,ok
E11,dbgi_002407_01,AL11833220,ok
F11,dbgi_002391_01,AL11833232,ok
G11,dbgi_002345_01,AL11833244,ok
H11,dbgi_002357_01,AL11833256,ok
A12,dbgi_002366_01,AL11833173,ok
B12,dbgi_002392_01,AL11833185,ok
C12,dbgi_001916_01,AL11833197,ok
D12,dbgi_001851_01,AL11833209,ok
E12,dbgi_002267_01,AL11833221,ok
F12,dbgi_001924_01,AL11833233,ok
G12,dbgi_003196_01,AL11833245,ok
H12,dbgi_003151_01,AL11833257,ok
