Position,SampleID,ScannerResult,Status
A01,dbgi_007463_01,AL11396714,ok
B01,dbgi_007435_01,AL11396965,ok
C01,dbgi_003218_01,AL11396911,ok
D01,dbgi_007356_01,AL11396788,ok
E01,dbgi_007451_01,AL11396866,ok
F01,dbgi_007358_01,AL11396736,ok
G01,dbgi_007466_01,AL11396940,ok
H01,dbgi_007359_01,AL11396685,ok
A02,dbgi_007412_01,AL11396835,ok
B02,dbgi_003127_01,AL11396817,ok
C02,dbgi_007376_01,AL11397026,ok
D02,dbgi_003128_01,AL11397013,ok
E02,dbgi_007471_02,AL11397009,ok
F02,dbgi_007316_01,AL11396931,ok
G02,dbgi_007431_01,AL11397011,ok
H02,dbgi_007389_01,AL11396596,ok
A03,dbgi_003137_01,AL11396802,ok
B03,dbgi_007314_01,AL11396791,ok
C03,dbgi_003158_01,AL11396870,ok
D03,dbgi_003172_01,AL11396772,ok
E03,dbgi_007364_01,AL11396699,ok
F03,dbgi_007470_01,AL11397006,ok
G03,dbgi_007490_01,AL11397016,ok
H03,dbgi_007552_01,AL11396715,ok
A04,dbgi_007454_01,AL11396784,ok
B04,dbgi_007297_01,AL11396819,ok
C04,dbgi_002838_01,AL11396630,ok
D04,dbgi_007459_01,AL11397022,ok
E04,dbgi_007461_01,AL11396763,ok
F04,dbgi_003146_01,AL11396834,ok
G04,dbgi_007288_01,AL11396901,ok
H04,dbgi_007408_01,AL11396779,ok
A05,dbgi_007469_01,AL11396693,ok
B05,blk_000043,AL11397018,ok
C05,dbgi_007352_01,AL11396943,ok
D05,dbgi_007542_01,AL11396794,ok
E05,dbgi_007443_01,AL11396989,ok
F05,dbgi_007484_01,AL11397012,ok
G05,dbgi_007453_01,AL11396970,ok
H05,dbgi_007367_01,AL11396986,ok
A06,dbgi_007392_01,AL11396796,ok
B06,dbgi_007483_01,AL11396906,ok
C06,dbgi_007413_01,AL11396727,ok
D06,dbgi_007415_01,AL11396709,ok
E06,dbgi_007424_01,AL11396782,ok
F06,dbgi_007402_01,AL11397010,ok
G06,dbgi_007357_01,AL11396589,ok
H06,dbgi_007460_01,AL11396712,ok
A07,dbgi_003205_01,AL11396795,ok
B07,dbgi_007406_07,AL11396919,ok
C07,dbgi_003199_01,AL11396913,ok
D07,dbgi_007542_01,AL11396954,ok
E07,dbgi_007485_01,AL11396783,ok
F07,dbgi_007346_01,AL11396830,ok
G07,dbgi_007379_01,AL11396745,ok
H07,dbgi_007430_01,AL11397023,ok
A08,dbgi_007290_01,AL11396840,ok
B08,dbgi_007397_01,AL11396888,ok
C08,dbgi_007371_01,AL11396953,ok
D08,dbgi_007462_01,AL11396836,ok
E08,dbgi_007365_01,AL11396921,ok
F08,dbgi_007306_01,AL11396780,ok
G08,dbgi_007478_01,AL11396838,ok
H08,dbgi_007377_01,AL11396818,ok
A09,dbgi_007395_01,AL11396892,ok
B09,dbgi_007378_01,AL11396694,ok
C09,dbgi_007381_01,AL11396619,ok
D09,dbgi_007400_01,AL11396995,ok
E09,dbgi_007493_01,AL11396644,ok
F09,dbgi_003076_01,AL11396682,ok
G09,dbgi_007287_01,AL11396806,ok
H09,dbgi_007340_01,AL11396816,ok
A10,dbgi_007456_01,AL11396977,ok
B10,dbgi_003085_01,AL11396925,ok
C10,dbgi_007361_01,AL11396929,ok
D10,dbgi_007373_01,AL11396822,ok
E10,dbgi_007421_01,AL11396724,ok
F10,dbgi_007380_01,AL11396769,ok
G10,dbgi_007374_01,AL11396807,ok
H10,dbgi_007468_01,AL11396721,ok
A11,dbgi_007296_01,AL11396631,ok
B11,dbgi_007272_01,AL11396738,ok
C11,dbgi_007193_01,AL11396338,ok
D11,dbgi_003097_01,AL11396957,ok
E11,dbgi_007432_01,AL11396733,ok
F11,dbgi_007197_01,AL11396987,ok
G11,dbgi_003221_01,AL11396703,ok
H11,dbgi_007258_01,AL11396675,ok
A12,dbgi_007239_01,AL11397002,ok
B12,dbgi_007409_01,AL11396967,ok
C12,dbgi_007224_01,AL11396928,ok
D12,dbgi_007198_01,AL11396895,ok
E12,dbgi_007252_01,AL11396881,ok
F12,dbgi_007205_01,AL11396678,ok
G12,dbgi_007244_01,AL11396723,ok
H12,dbgi_003161_01,AL11396963,ok
