Position,SampleID,ScannerResult,Status
A01,dbgi_003133_01,AL11868106,ok
B01,dbgi_002774_01,AL11868118,ok
C01,dbgi_002881_01,AL11868130,ok
D01,dbgi_002842_01,AL11868142,ok
E01,dbgi_002751_01,AL11868154,ok
F01,dbgi_002806_01,AL11868166,ok
G01,dbgi_002767_01,AL11868178,ok
H01,dbgi_003143_01,AL11868190,ok
A02,dbgi_002804_01,AL11868107,ok
B02,dbgi_002859_01,AL11868119,ok
C02,dbgi_002814_01,AL11868131,ok
D02,dbgi_002958_01,AL11868143,ok
E02,dbgi_003144_01,AL11868155,ok
F02,dbgi_002891_01,AL11868167,ok
G02,dbgi_002756_01,AL11868179,ok
H02,dbgi_002947_01,AL11868191,ok
A03,dbgi_003098_01,AL11868108,ok
B03,dbgi_003080_01,AL11868120,ok
C03,dbgi_002924_01,AL11868132,ok
D03,dbgi_002963_01,AL11868144,ok
E03,dbgi_003032_01,AL11868156,ok
F03,dbgi_002816_01,AL11868168,ok
G03,dbgi_003083_01,AL11868180,ok
H03,dbgi_002849_01,AL11868192,ok
A04,dbgi_003162_01,AL11868109,ok
B04,dbgi_002866_01,AL11868121,ok
C04,dbgi_002828_01,AL11868133,ok
D04,dbgi_002898_01,AL11868145,ok
E04,dbgi_003012_01,AL11868157,ok
F04,dbgi_003134_01,AL11868169,ok
G04,dbgi_002805_01,AL11868181,ok
H04,dbgi_003038_01,AL11868193,ok
A05,dbgi_003075_01,AL11868110,ok
B05,dbgi_002790_01,AL11868122,ok
C05,dbgi_003139_01,AL11868134,ok
D05,dbgi_002773_01,AL11868146,ok
E05,dbgi_002871_01,AL11868158,ok
F05,dbgi_002942_01,AL11868170,ok
G05,dbgi_003115_01,AL11868182,ok
H05,dbgi_002797_01,AL11868194,ok
A06,dbgi_003110_01,AL11868111,ok
B06,dbgi_003135_01,AL11868123,ok
C06,dbgi_002808_01,AL11868135,ok
D06,dbgi_002796_01,AL11868147,ok
E06,dbgi_003007_01,AL11868159,ok
F06,dbgi_002772_01,AL11868171,ok
G06,dbgi_003022_01,AL11868183,ok
H06,dbgi_002776_01,AL11868195,ok
A07,dbgi_003114_01,AL11868112,ok
B07,dbgi_002809_01,AL11868124,ok
C07,dbgi_002768_01,AL11868136,ok
D07,dbgi_002888_01,AL11868148,ok
E07,dbgi_002868_01,AL11868160,ok
F07,dbgi_003142_01,AL11868172,ok
G07,dbgi_002795_01,AL11868184,ok
H07,dbgi_003217_01,AL11868196,ok
A08,dbgi_002877_01,AL11868113,ok
B08,dbgi_002944_01,AL11868125,ok
C08,dbgi_002879_01,AL11868137,ok
D08,dbgi_002952_01,AL11868149,ok
E08,dbgi_002933_01,AL11868161,ok
F08,dbgi_002880_01,AL11868173,ok
G08,dbgi_002760_01,AL11868185,ok
H08,dbgi_003063_01,AL11868197,ok
A09,dbgi_003121_01,AL11868114,ok
B09,dbgi_batch_blk_000008,AL11868126,ok
C09,dbgi_002683_01,AL11868138,ok
D09,dbgi_002632_01,AL11868150,ok
E09,dbgi_002923_01,AL11868162,ok
F09,dbgi_002669_02,AL11868174,ok
G09,dbgi_002689_01,AL11868186,ok
H09,dbgi_002993_01,AL11868198,ok
A10,dbgi_001193_01,AL11868115,ok
B10,dbgi_002659_01,AL11868127,ok
C10,dbgi_001775_01,AL11868139,ok
D10,dbgi_002696_01,AL11868151,ok
E10,dbgi_002739_01,AL11868163,ok
F10,dbgi_002588_01,AL11868175,ok
G10,dbgi_002731_01,AL11868187,ok
H10,dbgi_002700_01,AL11868199,ok
A11,dbgi_002735_01,AL11868116,ok
B11,dbgi_003212_02,AL11868128,ok
C11,dbgi_003138_01,AL11868140,ok
D11,dbgi_002557_01,AL11868152,ok
E11,dbgi_002663_01,AL11868164,ok
F11,dbgi_002547_01,AL11868176,ok
G11,dbgi_003116_02,AL11868188,ok
H11,dbgi_002765_01,AL11868200,ok
A12,dbgi_002941_01,AL11868117,ok
B12,dbgi_002794_02,AL11868129,ok
C12,dbgi_002695_01,AL11868141,ok
D12,dbgi_002558_01,AL11868153,ok
E12,dbgi_002734_01,AL11868165,ok
F12,dbgi_002966_01,AL11868177,ok
G12,dbgi_003074_01,AL11868189,ok
H12,dbgi_002785_01,AL11868201,ok
