Position,SampleID,ScannerResult,Status
A01,dbgi_002348_01,AL11868298,ok
B01,dbgi_002329_01,AL11868310,ok
C01,dbgi_001006_01,AL11868322,ok
D01,dbgi_002244_01,AL11868334,ok
E01,dbgi_002330_01,AL11868346,ok
F01,dbgi_002597_01,AL11868358,ok
G01,dbgi_002361_01,AL11868370,ok
H01,dbgi_002310_01,AL11868382,ok
A02,dbgi_002340_01,AL11868299,ok
B02,dbgi_002303_01,AL11868311,ok
C02,dbgi_002389_01,AL11868323,ok
D02,dbgi_002296_01,AL11868335,ok
E02,dbgi_002403_01,AL11868347,ok
F02,dbgi_002287_01,AL11868359,ok
G02,dbgi_001844_01,AL11868371,ok
H02,dbgi_002305_01,AL11868383,ok
A03,dbgi_002417_01,AL11868300,ok
B03,dbgi_002322_01,AL11868312,ok
C03,dbgi_002396_01,AL11868324,ok
D03,dbgi_002486_01,AL11868336,ok
E03,dbgi_002350_01,AL11868348,ok
F03,dbgi_001806_01,AL11868360,ok
G03,dbgi_002447_01,AL11868372,ok
H03,dbgi_002427_01,AL11868384,ok
A04,dbgi_002358_01,AL11868301,ok
B04,dbgi_002241_01,AL11868313,ok
C04,dbgi_002411_01,AL11868325,ok
D04,dbgi_002266_01,AL11868337,ok
E04,dbgi_001923_01,AL11868349,ok
F04,dbgi_002404_01,AL11868361,ok
G04,dbgi_002255_01,AL11868373,ok
H04,dbgi_002504_01,AL11868385,ok
A05,dbgi_002353_01,AL11868302,ok
B05,dbgi_002325_01,AL11868314,ok
C05,dbgi_002274_01,AL11868326,ok
D05,dbgi_002304_01,AL11868338,ok
E05,dbgi_002320_01,AL11868350,ok
F05,dbgi_002245_01,AL11868362,ok
G05,dbgi_002298_01,AL11868374,ok
H05,dbgi_002379_01,AL11868386,ok
A06,dbgi_001111_01,AL11868303,ok
B06,dbgi_001044_01,AL11868315,ok
C06,dbgi_002292_01,AL11868327,ok
D06,dbgi_002534_01,AL11868339,ok
E06,dbgi_001917_01,AL11868351,ok
F06,dbgi_002315_01,AL11868363,ok
G06,dbgi_002400_01,AL11868375,ok
H06,dbgi_002852_01,AL11868387,ok
A07,dbgi_001929_01,AL11868304,ok
B07,dbgi_002423_01,AL11868316,ok
C07,dbgi_002336_01,AL11868328,ok
D07,dbgi_001937_01,AL11868340,ok
E07,dbgi_001829_01,AL11868352,ok
F07,dbgi_001845_01,AL11868364,ok
G07,dbgi_002314_01,AL11868376,ok
H07,dbgi_002922_02,AL11868388,ok
A08,dbgi_002352_01,AL11868305,ok
B08,dbgi_002300_01,AL11868317,ok
C08,dbgi_002284_01,AL11868329,ok
D08,dbgi_002276_01,AL11868341,ok
E08,dbgi_001914_01,AL11868353,ok
F08,dbgi_002441_01,AL11868365,ok
G08,dbgi_002419_01,AL11868377,ok
H08,dbgi_002438_01,AL11868389,ok
A09,dbgi_002290_01,AL11868306,ok
B09,dbgi_002405_01,AL11868318,ok
C09,dbgi_002309_01,AL11868330,ok
D09,dbgi_001053_01,AL11868342,ok
E09,dbgi_001931_01,AL11868354,ok
F09,dbgi_002239_01,AL11868366,ok
G09,dbgi_002440_01,AL11868378,ok
H09,dbgi_002771_01,AL11868390,ok
A10,dbgi_002418_01,AL11868307,ok
B10,dbgi_003086_02,AL11868319,ok
C10,dbgi_002416_01,AL11868331,ok
D10,dbgi_002780_01,AL11868343,ok
E10,dbgi_002420_01,AL11868355,ok
F10,dbgi_002317_01,AL11868367,ok
G10,dbgi_002409_01,AL11868379,ok
H10,dbgi_002328_01,AL11868391,ok
A11,dbgi_002415_01,AL11868308,ok
B11,dbgi_002802_01,AL11868320,ok
C11,dbgi_002874_01,AL11868332,ok
D11,dbgi_002900_01,AL11868344,ok
E11,dbgi_002964_01,AL11868356,ok
F11,dbgi_003125_01,AL11868368,ok
G11,dbgi_002979_01,AL11868380,ok
H11,dbgi_002987_01,AL11868392,ok
A12,dbgi_002878_01,AL11868309,ok
B12,dbgi_002821_01,AL11868321,ok
C12,dbgi_002978_01,AL11868333,ok
D12,dbgi_002822_01,AL11868345,ok
E12,dbgi_002997_01,AL11868357,ok
F12,dbgi_003042_01,AL11868369,ok
G12,dbgi_002992_01,AL11868381,ok
H12,dbgi_002862_01,AL11868393,ok
