A01,dbgi_003133_01
B01,dbgi_002774_01
C01,dbgi_002881_01
D01,dbgi_002842_01
E01,dbgi_002751_01
F01,dbgi_002806_01
G01,dbgi_002767_01
H01,dbgi_003143_01
A02,dbgi_002804_01
B02,dbgi_002859_01
C02,dbgi_002814_01
D02,dbgi_002958_01
E02,dbgi_003144_01
F02,dbgi_002891_01
G02,dbgi_002756_01
H02,dbgi_002947_01
A03,dbgi_003098_01
B03,dbgi_003080_01
C03,dbgi_002924_01
D03,dbgi_002963_01
E03,dbgi_003032_01
F03,dbgi_002816_01
G03,dbgi_003083_01
H03,dbgi_002849_01
A04,dbgi_003162_01
B04,dbgi_002866_01
C04,dbgi_002828_01
D04,dbgi_002898_01
E04,dbgi_003012_01
F04,dbgi_003134_01
G04,dbgi_002805_01
H04,dbgi_003038_01
A05,dbgi_003075_01
B05,dbgi_002790_01
C05,dbgi_003139_01
D05,dbgi_002773_01
E05,dbgi_002871_01
F05,dbgi_002942_01
G05,dbgi_003115_01
H05,dbgi_002797_01
A06,dbgi_003110_01
B06,dbgi_003135_01
C06,dbgi_002808_01
D06,dbgi_002796_01
E06,dbgi_003007_01
F06,dbgi_002772_01
G06,dbgi_003022_01
H06,dbgi_002776_01
A07,dbgi_003114_01
B07,dbgi_002809_01
C07,dbgi_002768_01
D07,dbgi_002888_01
E07,dbgi_002868_01
F07,dbgi_003142_01
G07,dbgi_002795_01
H07,dbgi_003217_01
A08,dbgi_002877_01
B08,dbgi_002944_01
C08,dbgi_002879_01
D08,dbgi_002952_01
E08,dbgi_002933_01
F08,dbgi_002880_01
G08,dbgi_002760_01
H08,dbgi_003063_01
A09,dbgi_003121_01
B09,dbgi_batch_blk_000008
C09,dbgi_002683_01
D09,dbgi_002632_01
E09,dbgi_002923_01
F09,dbgi_002669_02
G09,dbgi_002689_01
H09,dbgi_002993_01
A10,dbgi_001193_01
B10,dbgi_002659_01
C10,dbgi_001775_01
D10,dbgi_002696_01
E10,dbgi_002739_01
F10,dbgi_002588_01
G10,dbgi_002731_01
H10,dbgi_002700_01
A11,dbgi_002735_01
B11,dbgi_003212_02
C11,dbgi_003138_01
D11,dbgi_002557_01
E11,dbgi_002663_01
F11,dbgi_002547_01
G11,dbgi_003116_02
H11,dbgi_002765_01
A12,dbgi_002941_01
B12,dbgi_002794_02
C12,dbgi_002695_01
D12,dbgi_002558_01
E12,dbgi_002734_01
F12,dbgi_002966_01
G12,dbgi_003074_01
H12,dbgi_002785_01
