Position,SampleID,ScannerResult,Status
A01,dbgi_007628_01,AL11852650,ok
B01,dbgi_007821_01,AL11852662,ok
C01,dbgi_007831_01,AL11852674,ok
D01,dbgi_007501_01,AL11852686,ok
E01,dbgi_007843_01,AL11852698,ok
F01,dbgi_007819_01,AL11852710,ok
G01,dbgi_007841_01,AL11852722,ok
H01,dbgi_007848_01,AL11852734,ok
A02,dbgi_007847_01,AL11852651,ok
B02,dbgi_007842_01,AL11852663,ok
C02,dbgi_007838_01,AL11852675,ok
D02,dbgi_007822_01,AL11852687,ok
E02,dbgi_007849_01,AL11852699,ok
F02,dbgi_007850_01,AL11852711,ok
G02,dbgi_007846_01,AL11852723,ok
H02,blk_000059,AL11852735,ok
A03,dbgi_007694_01,AL11852652,ok
B03,dbgi_007815_01,AL11852664,ok
C03,dbgi_007635_01,AL11852676,ok
D03,dbgi_007680_01,AL11852688,ok
E03,dbgi_007749_01,AL11852700,ok
F03,dbgi_007764_01,AL11852712,ok
G03,dbgi_007832_01,AL11852724,ok
H03,dbgi_007828_01,AL11852736,ok
A04,dbgi_007560_01,AL11852653,ok
B04,dbgi_007789_01,AL11852665,ok
C04,dbgi_007784_01,AL11852677,ok
D04,dbgi_007760_01,AL11852689,ok
E04,dbgi_007681_01,AL11852701,ok
F04,dbgi_007656_01,AL11852713,ok
G04,dbgi_007690_01,AL11852725,ok
H04,dbgi_007674_01,AL11852737,ok
A05,dbgi_007520_01,AL11852654,ok
B05,dbgi_007747_01,AL11852666,ok
C05,dbgi_007728_01,AL11852678,ok
D05,dbgi_007802_01,AL11852690,ok
E05,dbgi_007650_01,AL11852702,ok
F05,dbgi_007745_01,AL11852714,ok
G05,dbgi_007575_01,AL11852726,ok
H05,dbgi_007725_01,AL11852738,ok
A06,dbgi_007547_01,AL11852655,ok
B06,dbgi_007558_01,AL11852667,ok
C06,dbgi_007762_01,AL11852679,ok
D06,dbgi_007669_01,AL11852691,ok
E06,dbgi_007785_01,AL11852703,ok
F06,dbgi_007732_01,AL11852715,ok
G06,dbgi_007751_01,AL11852727,ok
H06,dbgi_007770_01,AL11852739,ok
A07,dbgi_007514_01,AL11852656,ok
B07,dbgi_007767_01,AL11852668,ok
C07,dbgi_007803_01,AL11852680,ok
D07,dbgi_007561_01,AL11852692,ok
E07,dbgi_007557_01,AL11852704,ok
F07,dbgi_007589_01,AL11852716,ok
G07,dbgi_007510_01,AL11852728,ok
H07,dbgi_007782_01,AL11852740,ok
A08,dbgi_007742_01,AL11852657,ok
B08,dbgi_007795_01,AL11852669,ok
C08,dbgi_007401_01,AL11852681,ok
D08,dbgi_007613_01,AL11852693,ok
E08,dbgi_007573_01,AL11852705,ok
F08,dbgi_007806_01,AL11852717,ok
G08,dbgi_007753_01,AL11852729,ok
H08,dbgi_007530_01,AL11852741,ok
A09,dbgi_007798_01,AL11852658,ok
B09,dbgi_007533_01,AL11852670,ok
C09,dbgi_007801_01,AL11852682,ok
D09,dbgi_007532_01,AL11852694,ok
E09,dbgi_007727_01,AL11852706,ok
F09,dbgi_007515_01,AL11852718,ok
G09,dbgi_007564_01,AL11852730,ok
H09,dbgi_007500_01,AL11852742,ok
A10,dbgi_007790_01,AL11852659,ok
B10,dbgi_007771_01,AL11852671,ok
C10,dbgi_007535_01,AL11852683,ok
D10,dbgi_007567_01,AL11852695,ok
E10,dbgi_007774_01,AL11852707,ok
F10,dbgi_007527_01,AL11852719,ok
G10,dbgi_007834_01,AL11852731,ok
H10,dbgi_007581_01,AL11852743,ok
A11,dbgi_007851_01,AL11852660,ok
B11,dbgi_008859_01,AL11852672,ok
C11,dbgi_008867_01,AL11852684,ok
D11,dbgi_007776_01,AL11852696,ok
E11,dbgi_007717_01,AL11852708,ok
F11,dbgi_007840_01,AL11852720,ok
G11,dbgi_007844_01,AL11852732,ok
H11,dbgi_008983_01,AL11852744,ok
A12,dbgi_007615_01,AL11852661,ok
B12,dbgi_007637_01,AL11852673,ok
C12,dbgi_007693_01,AL11852685,ok
D12,dbgi_007563_01,AL11852697,ok
E12,dbgi_007585_01,AL11852709,ok
F12,dbgi_008982_01,AL11852721,ok
G12,dbgi_007521_01,AL11852733,ok
H12,dbgi_008991_01,AL11852745,ok
