Position,SampleID,ScannerResult,Status
A01,dbgi_000448_01,AL11833258,ok
B01,dbgi_000876_01,AL11833270,ok
C01,dbgi_000442_01,AL11833282,ok
D01,dbgi_000542_01,AL11833294,ok
E01,dbgi_000980_01,AL11833306,ok
F01,dbgi_000441_01,AL11833318,ok
G01,dbgi_000503_01,AL11833330,ok
H01,dbgi_000475_01,AL11833342,ok
A02,dbgi_000401_01,AL11833259,ok
B02,dbgi_000561_01,AL11833271,ok
C02,dbgi_000425_01,AL11833283,ok
D02,dbgi_000981_01,AL11833295,ok
E02,dbgi_000982_01,AL11833307,ok
F02,dbgi_000983_01,AL11833319,ok
G02,dbgi_000984_01,AL11833331,ok
H02,dbgi_000986_01,AL11833343,ok
A03,dbgi_000987_01,AL11833260,ok
B03,dbgi_000988_01,AL11833272,ok
C03,dbgi_000989_01,AL11833284,ok
D03,dbgi_000979_01,AL11833296,ok
E03,dbgi_000968_01,AL11833308,ok
F03,dbgi_000958_01,AL11833320,ok
G03,dbgi_000949_01,AL11833332,ok
H03,dbgi_000940_01,AL11833344,ok
A04,dbgi_000969_01,AL11833261,ok
B04,dbgi_000970_01,AL11833273,ok
C04,dbgi_000972_01,AL11833285,ok
D04,dbgi_000973_01,AL11833297,ok
E04,dbgi_000974_01,AL11833309,ok
F04,dbgi_000976_01,AL11833321,ok
G04,dbgi_000977_01,AL11833333,ok
H04,dbgi_000978 _01,AL11833345,ok
A05,dbgi_000959_01,AL11833262,ok
B05,dbgi_000961_01,AL11833274,ok
C05,dbgi_000962_01,AL11833286,ok
D05,dbgi_000963_01,AL11833298,ok
E05,dbgi_000964_01,AL11833310,ok
F05,dbgi_000965_01,AL11833322,ok
G05,dbgi_000966_01,AL11833334,ok
H05,dbgi_000967_01,AL11833346,ok
A06,dbgi_000950_01,AL11833263,ok
B06,dbgi_000951_01,AL11833275,ok
C06,dbgi_000952_01,AL11833287,ok
D06,dbgi_000953_01,AL11833299,ok
E06,dbgi_000954_01,AL11833311,ok
F06,dbgi_000955_01,AL11833323,ok
G06,dbgi_000956_01,AL11833335,ok
H06,dbgi_000957_01,AL11833347,ok
A07,dbgi_000941_01,AL11833264,ok
B07,dbgi_000942_01,AL11833276,ok
C07,dbgi_000943_01,AL11833288,ok
D07,dbgi_000944_01,AL11833300,ok
E07,dbgi_000945_01,AL11833312,ok
F07,dbgi_000946_01,AL11833324,ok
G07,dbgi_000947_01,AL11833336,ok
H07,dbgi_000948_01,AL11833348,ok
A08,dbgi_000932_01,AL11833265,ok
B08,dbgi_000933_01,AL11833277,ok
C08,dbgi_000934_01,AL11833289,ok
D08,dbgi_000935_01,AL11833301,ok
E08,dbgi_000936_01,AL11833313,ok
F08,dbgi_000937_01,AL11833325,ok
G08,dbgi_000938_01,AL11833337,ok
H08,dbgi_000939_01,AL11833349,ok
A09,dbgi_000922_01,AL11833266,ok
B09,dbgi_000923_01,AL11833278,ok
C09,dbgi_000924_01,AL11833290,ok
D09,dbgi_000925_01,AL11833302,ok
E09,dbgi_000926_01,AL11833314,ok
F09,dbgi_000927_01,AL11833326,ok
G09,dbgi_000928_01,AL11833338,ok
H09,dbgi_000930_01,AL11833350,ok
A10,dbgi_000908_01,AL11833267,ok
B10,dbgi_000910_01,AL11833279,ok
C10,dbgi_000912_01,AL11833291,ok
D10,dbgi_000913_01,AL11833303,ok
E10,dbgi_000915_01,AL11833315,ok
F10,dbgi_000917_01,AL11833327,ok
G10,dbgi_000919_01,AL11833339,ok
H10,dbgi_000920_01,AL11833351,ok
A11,dbgi_000879_01,AL11833268,ok
B11,dbgi_000900_01,AL11833280,ok
C11,dbgi_000901_01,AL11833292,ok
D11,dbgi_000902_01,AL11833304,ok
E11,dbgi_000903_01,AL11833316,ok
F11,dbgi_000904_01,AL11833328,ok
G11,dbgi_000905_01,AL11833340,ok
H11,dbgi_000906_01,AL11833352,ok
A12,dbgi_000907_01,AL11833269,ok
B12,dbgi_000921_01,AL11833281,ok
C12,dbgi_000931_01,AL11833293,ok
D12,dbgi_001134_01,AL11833305,ok
E12,dbgi_001125_01,AL11833317,ok
F12,dbgi_001119_01,AL11833329,ok
G12,dbgi_001038_01,AL11833341,ok
H12,dbgi_001023_01,AL11833353,ok
