Position,SampleID,ScannerResult,Status
A01,dbgi_007476_01,AL11833354,ok
B01,dbgi_007457_01,AL11833366,ok
C01,dbgi_007196_01,AL11833378,ok
D01,dbgi_007368_01,AL11833390,ok
E01,dbgi_007293_01,AL11833402,ok
F01,dbgi_007354_01,AL11833414,ok
G01,dbgi_007285_01,AL11833426,ok
H01,dbgi_007404_01,AL11833438,ok
A02,dbgi_007355_01,AL11833355,ok
B02,dbgi_007393_01,AL11833367,ok
C02,dbgi_007383_01,AL11833379,ok
D02,dbgi_007276_01,AL11833391,ok
E02,dbgi_007492_01,AL11833403,ok
F02,dbgi_007284_01,AL11833415,ok
G02,dbgi_007427_01,AL11833427,ok
H02,dbgi_007232_01,AL11833439,ok
A03,dbgi_007195_01,AL11833356,ok
B03,dbgi_007298_01,AL11833368,ok
C03,dbgi_007282_01,AL11833380,ok
D03,dbgi_007366_01,AL11833392,ok
E03,dbgi_007295_01,AL11833404,ok
F03,dbgi_007266_01,AL11833416,ok
G03,dbgi_003154_01,AL11833428,ok
H03,dbgi_003155_01,AL11833440,ok
A04,dbgi_003223_01,AL11833357,ok
B04,dbgi_003198_01,AL11833369,ok
C04,dbgi_003164_01,AL11833381,ok
D04,dbgi_003187_01,AL11833393,ok
E04,dbgi_003180_01,AL11833405,ok
F04,dbgi_003179_01,AL11833417,ok
G04,dbgi_003185_01,AL11833429,ok
H04,dbgi_003214_01,AL11833441,ok
A05,dbgi_003068_01,AL11833358,ok
B05,dbgi_002789_01,AL11833370,ok
C05,dbgi_002914_01,AL11833382,ok
D05,dbgi_002857_01,AL11833394,ok
E05,dbgi_003101_01,AL11833406,ok
F05,dbgi_003140_01,AL11833418,ok
G05,dbgi_002863_01,AL11833430,ok
H05,dbgi_002826_01,AL11833442,ok
A06,dbgi_batch_blk_000011,AL11833359,ok
B06,dbgi_002899_01,AL11833371,ok
C06,,AL11833383,ok
D06,,AL11833395,ok
E06,,AL11833407,ok
F06,,AL11833419,ok
G06,,AL11833431,ok
H06,,AL11833443,ok
A07,,AL11833360,ok
B07,,AL11833372,ok
C07,,AL11833384,ok
D07,,AL11833396,ok
E07,,AL11833408,ok
F07,,AL11833420,ok
G07,,AL11833432,ok
H07,,AL11833444,ok
A08,,AL11833361,ok
B08,,AL11833373,ok
C08,,AL11833385,ok
D08,,AL11833397,ok
E08,,AL11833409,ok
F08,,AL11833421,ok
G08,,AL11833433,ok
H08,,AL11833445,ok
A09,,AL11833362,ok
B09,,AL11833374,ok
C09,,AL11833386,ok
D09,,AL11833398,ok
E09,,AL11833410,ok
F09,,AL11833422,ok
G09,,AL11833434,ok
H09,,AL11833446,ok
A10,,AL11833363,ok
B10,,AL11833375,ok
C10,,AL11833387,ok
D10,,AL11833399,ok
E10,,AL11833411,ok
F10,,AL11833423,ok
G10,,AL11833435,ok
H10,,AL11833447,ok
A11,,AL11833364,ok
B11,,AL11833376,ok
C11,,AL11833388,ok
D11,,AL11833400,ok
E11,,AL11833412,ok
F11,,AL11833424,ok
G11,,AL11833436,ok
H11,,AL11833448,ok
A12,,AL11833365,ok
B12,,AL11833377,ok
C12,,AL11833389,ok
D12,,AL11833401,ok
E12,,AL11833413,ok
F12,,AL11833425,ok
G12,,AL11833437,ok
H12,,AL11833449,ok
