A01,dbgi_007345_01
B01,dbgi_007268_01
C01,dbgi_007330_01
D01,dbgi_007286_01
E01,dbgi_007403_01
F01,dbgi_007394_01
G01,dbgi_002723_01
H01,dbgi_002956_01
A02,dbgi_002397_01
B02,dbgi_002921_01
C02,dbgi_002967_01
D02,dbgi_002560_01
E02,dbgi_002656_01
F02,dbgi_002634_01
G02,dbgi_002654_01
H02,dbgi_001167_01
A03,dbgi_002658_01
B03,dbgi_002850_01
C03,dbgi_001761_01
D03,dbgi_001768_01
E03,dbgi_001194_01
F03,dbgi_001762_01
G03,dbgi_001040_01
H03,dbgi_001767_01
A04,dbgi_002308_01
B04,dbgi_002961_01
C04,dbgi_001216_01
D04,dbgi_001212_01
E04,dbgi_002512_01
F04,dbgi_001886_01
G04,dbgi_001203_01
H04,dbgi_001903_01
A05,dbgi_001229_01
B05,dbgi_001198_01
C05,dbgi_002982_01
D05,dbgi_001200_01
E05,dbgi_001791_02
F05,dbgi_002319_01
G05,dbgi_001168_01
H05,dbgi_002604_01
A06,dbgi_002626_01
B06,dbgi_001786_01
C06,dbgi_000545_01
D06,dbgi_001221_01
E06,dbgi_001876_01
F06,dbgi_001136_01
G06,dbgi_001115_01
H06,dbgi_001220_01
A07,dbgi_002912_01
B07,dbgi_002614_01
C07,dbgi_002369_01
D07,dbgi_001897_01
E07,dbgi_001196_01
F07,dbgi_001822_01
G07,dbgi_002878_02
H07,dbgi_001170_01
A08,dbgi_001202_01
B08,dbgi_001214_01
C08,dbgi_002667_01
D08,dbgi_002936_01
E08,dbgi_002910_01
F08,dbgi_002687_01
G08,dbgi_002670_01
H08,dbgi_001780_01
A09,dbgi_002655_01
B09,dbgi_001865_01
C09,dbgi_002685_01
D09,dbgi_001785_01
E09,dbgi_001763_01
F09,dbgi_003078_01
G09,dbgi_002913_01
H09,dbgi_001772_01
A10,dbgi_002692_01
B10,dbgi_002553_01
C10,dbgi_002985_01
D10,dbgi_000960_01
E10,dbgi_001756_01
F10,dbgi_001122_01
G10,dbgi_001208_01
H10,dbgi_002646_01
A11,dbgi_001800_01
B11,dbgi_002724_01
C11,dbgi_001231_01
D11,dbgi_002629_02
E11,dbgi_000518_01
F11,dbgi_001908_01
G11,dbgi_001789_01
H11,dbgi_002762_01
A12,dbgi_002778_01
B12,dbgi_002948_01
C12,dbgi_002812_01
D12,dbgi_002779_01
E12,dbgi_002904_01
F12,dbgi_002953_01
G12,dbgi_002748_01
H12,dbgi_002799_01
