A01,dbgi_002713_01
B01,dbgi_002998_01
C01,dbgi_002787_01
D01,dbgi_002612_01
E01,dbgi_002582_01
F01,dbgi_002574_01
G01,dbgi_001204_01
H01,dbgi_001854_01
A02,dbgi_002717_01
B02,dbgi_002817_01
C02,dbgi_002586_01
D02,dbgi_002720_01
E02,dbgi_002664_01
F02,dbgi_002577_02
G02,dbgi_001892_01
H02,dbgi_003044_01
A03,dbgi_002596_01
B03,dbgi_002722_01
C03,dbgi_002647_02
D03,dbgi_002676_01
E03,dbgi_002673_01
F03,dbgi_002856_01
G03,dbgi_002752_01
H03,dbgi_003102_01
A04,dbgi_002584_01
B04,dbgi_002908_01
C04,dbgi_002798_01
D04,dbgi_002243_01
E04,dbgi_002562_01
F04,dbgi_002889_01
G04,dbgi_002860_01
H04,dbgi_001874_01
A05,dbgi_002684_01
B05,dbgi_002903_01
C05,dbgi_002883_01
D05,dbgi_002911_01
E05,dbgi_002741_01
F05,dbgi_003104_01
G05,dbgi_002835_01
H05,dbgi_001883_01
A06,dbgi_002672_01
B06,dbgi_002793_01
C06,dbgi_002884_01
D06,dbgi_002579_01
E06,dbgi_002571_01
F06,dbgi_002800_01
G06,dbgi_003089_01
H06,dbgi_001770_01
A07,dbgi_002556_01
B07,dbgi_002559_01
C07,dbgi_002679_01
D07,dbgi_002703_01
E07,dbgi_002533_01
F07,dbgi_002591_01
G07,dbgi_002611_01
H07,dbgi_002269_01
A08,dbgi_002520_01
B08,dbgi_002460_01
C08,dbgi_002507_01
D08,dbgi_001776_01
E08,dbgi_001877_01
F08,dbgi_001808_01
G08,dbgi_001803_01
H08,dbgi_001796_01
A09,dbgi_002524_01
B09,dbgi_002737_01
C09,dbgi_002428_01
D09,dbgi_002744_01
E09,dbgi_002470_01
F09,dbgi_002480_01
G09,dbgi_002477_01
H09,dbgi_001755_01
A10,dbgi_002430_01
B10,dbgi_002459_01
C10,dbgi_002569_01
D10,dbgi_001782_01
E10,dbgi_002620_01
F10,dbgi_002285_01
G10,dbgi_002522_01
H10,dbgi_001882_01
A11,dbgi_002541_01
B11,dbgi_002456_01
C11,dbgi_002616_01
D11,dbgi_002710_01
E11,dbgi_002550_01
F11,dbgi_002730_01
G11,dbgi_001760_01
H11,dbgi_001787_01
A12,dbgi_002446_01
B12,dbgi_002564_01
C12,dbgi_002578_01
D12,dbgi_002707_01
E12,dbgi_002736_01
F12,dbgi_002529_01
G12,dbgi_002513_01
H12,dbgi_001043_01
