Position,SampleID,ScannerResult,Status
A01,dbgi_002478_01,AL11853610,ok
B01,dbgi_001764_01,AL11853622,ok
C01,dbgi_001875_01,AL11853634,ok
D01,dbgi_001213_01,AL11853646,ok
E01,dbgi_002729_01,AL11853658,ok
F01,dbgi_002332_01,AL11853670,ok
G01,dbgi_001804_01,AL11853682,ok
H01,dbgi_002385_01,AL11853694,ok
A02,dbgi_002636_01,AL11853611,ok
B02,dbgi_002566_01,AL11853623,ok
C02,dbgi_002493_01,AL11853635,ok
D02,dbgi_002452_01,AL11853647,ok
E02,dbgi_003046_01,AL11853659,ok
F02,dbgi_001910_01,AL11853671,ok
G02,dbgi_002623_01,AL11853683,ok
H02,dbgi_002356_01,AL11853695,ok
A03,dbgi_002962_01,AL11853612,ok
B03,dbgi_002628_01,AL11853624,ok
C03,dbgi_002429_01,AL11853636,ok
D03,dbgi_002321_01,AL11853648,ok
E03,dbgi_003011_01,AL11853660,ok
F03,dbgi_002660_01,AL11853672,ok
G03,dbgi_001884_01,AL11853684,ok
H03,dbgi_001859_01,AL11853696,ok
A04,dbgi_002279_01,AL11853613,ok
B04,dbgi_002523_01,AL11853625,ok
C04,dbgi_002618_01,AL11853637,ok
D04,dbgi_002509_01,AL11853649,ok
E04,dbgi_001773_01,AL11853661,ok
F04,dbgi_002532_01,AL11853673,ok
G04,dbgi_001894_01,AL11853685,ok
H04,dbgi_001869_01,AL11853697,ok
A05,dbgi_002622_01,AL11853614,ok
B05,dbgi_002482_01,AL11853626,ok
C05,dbgi_002496_01,AL11853638,ok
D05,dbgi_002483_01,AL11853650,ok
E05,dbgi_001781_01,AL11853662,ok
F05,dbgi_001774_01,AL11853674,ok
G05,dbgi_003043_01,AL11853686,ok
H05,dbgi_001805_01,AL11853698,ok
A06,dbgi_002498_01,AL11853615,ok
B06,dbgi_001828_01,AL11853627,ok
C06,dbgi_002536_01,AL11853639,ok
D06,dbgi_002454_01,AL11853651,ok
E06,dbgi_002489_01,AL11853663,ok
F06,dbgi_001215_01,AL11853675,ok
G06,dbgi_003058_01,AL11853687,ok
H06,dbgi_001922_01,AL11853699,ok
A07,dbgi_002519_01,AL11853616,ok
B07,dbgi_002277_01,AL11853628,ok
C07,dbgi_002275_01,AL11853640,ok
D07,dbgi_002613_01,AL11853652,ok
E07,dbgi_002501_01,AL11853664,ok
F07,dbgi_002335_01,AL11853676,ok
G07,dbgi_001861_01,AL11853688,ok
H07,dbgi_001915_01,AL11853700,ok
A08,dbgi_002653_01,AL11853617,ok
B08,dbgi_002469_01,AL11853629,ok
C08,dbgi_002425_01,AL11853641,ok
D08,dbgi_002641_01,AL11853653,ok
E08,dbgi_001858_01,AL11853665,ok
F08,dbgi_003056_01,AL11853677,ok
G08,dbgi_001912_01,AL11853689,ok
H08,dbgi_001199_01,AL11853701,ok
A09,dbgi_002650_01,AL11853618,ok
B09,dbgi_002603_01,AL11853630,ok
C09,dbgi_002521_01,AL11853642,ok
D09,dbgi_002437_01,AL11853654,ok
E09,dbgi_001836_01,AL11853666,ok
F09,dbgi_001873_01,AL11853678,ok
G09,dbgi_002975_01,AL11853690,ok
H09,dbgi_002542_01,AL11853702,ok
A10,dbgi_002677_01,AL11853619,ok
B10,dbgi_002294_01,AL11853631,ok
C10,dbgi_003045_01,AL11853643,ok
D10,dbgi_001809_01,AL11853655,ok
E10,dbgi_001860_01,AL11853667,ok
F10,dbgi_001893_01,AL11853679,ok
G10,dbgi_002728_01,AL11853691,ok
H10,dbgi_002645_01,AL11853703,ok
A11,dbgi_003030_01,AL11853620,ok
B11,dbgi_001863_01,AL11853632,ok
C11,dbgi_002704_01,AL11853644,ok
D11,dbgi_001848_01,AL11853656,ok
E11,dbgi_002247_01,AL11853668,ok
F11,dbgi_003035_01,AL11853680,ok
G11,dbgi_003021_01,AL11853692,ok
H11,dbgi_002487_01,AL11853704,ok
A12,dbgi_002388_01,AL11853621,ok
B12,dbgi_002272_01,AL11853633,ok
C12,dbgi_002288_01,AL11853645,ok
D12,dbgi_002250_01,AL11853657,ok
E12,dbgi_002265_01,AL11853669,ok
F12,dbgi_001895_01,AL11853681,ok
G12,dbgi_001870_01,AL11853693,ok
H12,dbgi_002246_01,AL11853705,ok
