A01,dbgi_002348_01
B01,dbgi_002329_01
C01,dbgi_001006_01
D01,dbgi_002244_01
E01,dbgi_002330_01
F01,dbgi_002597_01
G01,dbgi_002361_01
H01,dbgi_002310_01
A02,dbgi_002340_01
B02,dbgi_002303_01
C02,dbgi_002389_01
D02,dbgi_002296_01
E02,dbgi_002403_01
F02,dbgi_002287_01
G02,dbgi_001844_01
H02,dbgi_002305_01
A03,dbgi_002417_01
B03,dbgi_002322_01
C03,dbgi_002396_01
D03,dbgi_002486_01
E03,dbgi_002350_01
F03,dbgi_001806_01
G03,dbgi_002447_01
H03,dbgi_002427_01
A04,dbgi_002358_01
B04,dbgi_002241_01
C04,dbgi_002411_01
D04,dbgi_002266_01
E04,dbgi_001923_01
F04,dbgi_002404_01
G04,dbgi_002255_01
H04,dbgi_002504_01
A05,dbgi_002353_01
B05,dbgi_002325_01
C05,dbgi_002274_01
D05,dbgi_002304_01
E05,dbgi_002320_01
F05,dbgi_002245_01
G05,dbgi_002298_01
H05,dbgi_002379_01
A06,dbgi_001111_01
B06,dbgi_001044_01
C06,dbgi_002292_01
D06,dbgi_002534_01
E06,dbgi_001917_01
F06,dbgi_002315_01
G06,dbgi_002400_01
H06,dbgi_002852_01
A07,dbgi_001929_01
B07,dbgi_002423_01
C07,dbgi_002336_01
D07,dbgi_001937_01
E07,dbgi_001829_01
F07,dbgi_001845_01
G07,dbgi_002314_01
H07,dbgi_002922_02
A08,dbgi_002352_01
B08,dbgi_002300_01
C08,dbgi_002284_01
D08,dbgi_002276_01
E08,dbgi_001914_01
F08,dbgi_002441_01
G08,dbgi_002419_01
H08,dbgi_002438_01
A09,dbgi_002290_01
B09,dbgi_002405_01
C09,dbgi_002309_01
D09,dbgi_001053_01
E09,dbgi_001931_01
F09,dbgi_002239_01
G09,dbgi_002440_01
H09,dbgi_002771_01
A10,dbgi_002418_01
B10,dbgi_003086_02
C10,dbgi_002416_01
D10,dbgi_002780_01
E10,dbgi_002420_01
F10,dbgi_002317_01
G10,dbgi_002409_01
H10,dbgi_002328_01
A11,dbgi_002415_01
B11,dbgi_002802_01
C11,dbgi_002874_01
D11,dbgi_002900_01
E11,dbgi_002964_01
F11,dbgi_003125_01
G11,dbgi_002979_01
H11,dbgi_002987_01
A12,dbgi_002878_01
B12,dbgi_002821_01
C12,dbgi_002978_01
D12,dbgi_002822_01
E12,dbgi_002997_01
F12,dbgi_003042_01
G12,dbgi_002992_01
H12,dbgi_002862_01
