Position,SampleID,ScannerResult,Status
A01,dbgi_002876_01,AL11867626,ok
B01,dbgi_002769_01,AL11867638,ok
C01,dbgi_003037_01,AL11867650,ok
D01,dbgi_002781_01,AL11867662,ok
E01,dbgi_002815_01,AL11867674,ok
F01,dbgi_002819_01,AL11867686,ok
G01,dbgi_002847_01,AL11867698,ok
H01,dbgi_002918_01,AL11867710,ok
A02,dbgi_002922_01,AL11867627,ok
B02,dbgi_002836_01,AL11867639,ok
C02,dbgi_003047_01,AL11867651,ok
D02,dbgi_002758_01,AL11867663,ok
E02,dbgi_002763_01,AL11867675,ok
F02,dbgi_003001_01,AL11867687,ok
G02,dbgi_002855_01,AL11867699,ok
H02,dbgi_002834_01,AL11867711,ok
A03,dbgi_002753_01,AL11867628,ok
B03,dbgi_002984_01,AL11867640,ok
C03,dbgi_002858_01,AL11867652,ok
D03,dbgi_002783_01,AL11867664,ok
E03,dbgi_002818_01,AL11867676,ok
F03,dbgi_002895_01,AL11867688,ok
G03,dbgi_002549_01,AL11867700,ok
H03,dbgi_002991_01,AL11867712,ok
A04,dbgi_002792_01,AL11867629,ok
B04,dbgi_002973_01,AL11867641,ok
C04,dbgi_002825_01,AL11867653,ok
D04,dbgi_002902_01,AL11867665,ok
E04,dbgi_002907_01,AL11867677,ok
F04,dbgi_002882_01,AL11867689,ok
G04,dbgi_002873_01,AL11867701,ok
H04,dbgi_002927_01,AL11867713,ok
A05,dbgi_002905_01,AL11867630,ok
B05,dbgi_002820_01,AL11867642,ok
C05,dbgi_002837_01,AL11867654,ok
D05,dbgi_003017_01,AL11867666,ok
E05,dbgi_002749_01,AL11867678,ok
F05,dbgi_002896_01,AL11867690,ok
G05,dbgi_002980_01,AL11867702,ok
H05,dbgi_003092_01,AL11867714,ok
A06,dbgi_002824_01,AL11867631,ok
B06,dbgi_002754_01,AL11867643,ok
C06,dbgi_002851_01,AL11867655,ok
D06,dbgi_002759_01,AL11867667,ok
E06,dbgi_002887_01,AL11867679,ok
F06,dbgi_002803_01,AL11867691,ok
G06,dbgi_002831_01,AL11867703,ok
H06,dbgi_002969_01,AL11867715,ok
A07,dbgi_002872_01,AL11867632,ok
B07,dbgi_002846_01,AL11867644,ok
C07,dbgi_002946_02,AL11867656,ok
D07,dbgi_003120_01,AL11867668,ok
E07,dbgi_002832_01,AL11867680,ok
F07,dbgi_002813_01,AL11867692,ok
G07,dbgi_002870_01,AL11867704,ok
H07,dbgi_002996_01,AL11867716,ok
A08,dbgi_002841_01,AL11867633,ok
B08,dbgi_003006_01,AL11867645,ok
C08,dbgi_003027_01,AL11867657,ok
D08,dbgi_002928_01,AL11867669,ok
E08,dbgi_003002_01,AL11867681,ok
F08,dbgi_003095_01,AL11867693,ok
G08,dbgi_003070_01,AL11867705,ok
H08,dbgi_003084_01,AL11867717,ok
A09,dbgi_002892_01,AL11867634,ok
B09,dbgi_002875_01,AL11867646,ok
C09,dbgi_003073_01,AL11867658,ok
D09,dbgi_002919_01,AL11867670,ok
E09,dbgi_002844_01,AL11867682,ok
F09,dbgi_002853_01,AL11867694,ok
G09,dbgi_003057_01,AL11867706,ok
H09,dbgi_002823_01,AL11867718,ok
A10,dbgi_batch_blk_000007,AL11867635,ok
B10,dbgi_001211_01,AL11867647,ok
C10,dbgi_001172_01,AL11867659,ok
D10,dbgi_001234_01,AL11867671,ok
E10,dbgi_001241_01,AL11867683,ok
F10,dbgi_001154_01,AL11867695,ok
G10,dbgi_001207_01,AL11867707,ok
H10,dbgi_002306_01,AL11867719,ok
A11,dbgi_001171_01,AL11867636,ok
B11,dbgi_001810_01,AL11867648,ok
C11,dbgi_001132_01,AL11867660,ok
D11,dbgi_001218_01,AL11867672,ok
E11,dbgi_001056_01,AL11867684,ok
F11,dbgi_001047_01,AL11867696,ok
G11,dbgi_001058_01,AL11867708,ok
H11,dbgi_001224_01,AL11867720,ok
A12,dbgi_001138_01,AL11867637,ok
B12,dbgi_001206_01,AL11867649,ok
C12,dbgi_002324_01,AL11867661,ok
D12,dbgi_001217_01,AL11867673,ok
E12,dbgi_001048_01,AL11867685,ok
F12,dbgi_001205_01,AL11867697,ok
G12,dbgi_001896_01,AL11867709,ok
H12,dbgi_001155_01,AL11867721,ok
