A01,dbgi_002535_01
B01,dbgi_002528_01
C01,dbgi_002595_01
D01,dbgi_002515_01
E01,dbgi_002351_01
F01,dbgi_002270_01
G01,dbgi_002434_01
H01,dbgi_001871_01
A02,dbgi_002455_01
B02,dbgi_002712_01
C02,dbgi_002514_01
D02,dbgi_002492_01
E02,dbgi_001826_01
F02,dbgi_002249_01
G02,dbgi_002472_01
H02,dbgi_001792_01
A03,dbgi_002471_01
B03,dbgi_002711_01
C03,dbgi_002714_01
D03,dbgi_002709_01
E03,dbgi_002414_01
F03,dbgi_002422_01
G03,dbgi_002463_01
H03,dbgi_001210_01
A04,dbgi_002583_01
B04,dbgi_002605_01
C04,dbgi_002531_01
D04,dbgi_002576_01
E04,dbgi_002499_01
F04,dbgi_002537_01
G04,dbgi_002488_01
H04,dbgi_001783_01
A05,dbgi_batch_blk_000012
B05,dbgi_001769_01
C05,dbgi_001891_01
D05,dbgi_001872_01
E05,dbgi_003026_01
F05,dbgi_002602_01
G05,dbgi_001192_01
H05,dbgi_002551_01
A06,dbgi_002955_01
B06,dbgi_003028_01
C06,dbgi_002738_01
D06,dbgi_001864_01
E06,dbgi_batch_blk_000004
F06,dbgi_001816_01
G06,dbgi_003019_01
H06,dbgi_002465_01
A07,dbgi_001765_01
B07,dbgi_003054_01
C07,dbgi_003055_01
D07,dbgi_002567_01
E07,dbgi_002674_01
F07,dbgi_002994_01
G07,dbgi_002726_01
H07,dbgi_001751_01
A08,dbgi_002934_01
B08,dbgi_001881_01
C08,dbgi_002705_01
D08,dbgi_003060_01
E08,dbgi_002746_01
F08,dbgi_003008_01
G08,dbgi_002619_01
H08,dbgi_002929_01
A09,dbgi_001878_01
B09,dbgi_001795_01
C09,dbgi_002382_01
D09,dbgi_001887_01
E09,dbgi_002251_01
F09,dbgi_001813_01
G09,dbgi_003031_01
H09,dbgi_002680_01
A10,dbgi_001821_01
B10,dbgi_003065_01
C10,dbgi_001913_01
D10,dbgi_002458_01
E10,dbgi_002339_01
F10,dbgi_001856_01
G10,dbgi_001835_01
H10,dbgi_001784_01
A11,dbgi_002960_01
B11,dbgi_002457_01
C11,dbgi_002355_01
D11,dbgi_001758_01
E11,dbgi_002360_01
F11,dbgi_001833_01
G11,dbgi_002479_01
H11,dbgi_002954_01
A12,dbgi_002363_01
B12,dbgi_001820_01
C12,dbgi_001831_01
D12,dbgi_001936_01
E12,dbgi_002988_01
F12,dbgi_002462_01
G12,dbgi_002999_01
H12,dbgi_001197_01
