A01,dbgi_000439_01
B01,dbgi_000391_01
C01,dbgi_000437_01
D01,dbgi_000444_01
E01,dbgi_000429_01
F01,dbgi_000899_01
G01,dbgi_000478_01
H01,dbgi_000527_01
A02,dbgi_000488_01
B02,dbgi_000877_01
C02,dbgi_000516_01
D02,dbgi_000882_01
E02,dbgi_000482_01
F02,dbgi_000479_01
G02,dbgi_000389_01
H02,dbgi_000896_01
A03,dbgi_000521_01
B03,dbgi_000433_01
C03,dbgi_000543_01
D03,dbgi_000417_01
E03,dbgi_000455_01
F03,dbgi_000526_01
G03,dbgi_000402_01
H03,dbgi_000490_01
A04,dbgi_000435_01
B04,dbgi_000892_01
C04,dbgi_000451_01
D04,dbgi_000536_01
E04,dbgi_000468_01
F04,dbgi_000405_01
G04,dbgi_000481_01
H04,dbgi_000871_01
A05,dbgi_000535_01
B05,dbgi_000517_01
C05,dbgi_000501_01
D05,dbgi_000412_01
E05,dbgi_000423_01
F05,dbgi_000510_01
G05,dbgi_000512_01
H05,dbgi_000515_01
A06,dbgi_000528_01
B06,dbgi_000549_01
C06,dbgi_000562_01
D06,dbgi_000563_01
E06,dbgi_000870_01
F06,dbgi_000872_01
G06,dbgi_000506_01
H06,dbgi_000544_01
A07,dbgi_000875_01
B07,dbgi_000497_01
C07,dbgi_000556_01
D07,dbgi_000126_01
E07,dbgi_000127_01
F07,dbgi_000128_01
G07,dbgi_000129_01
H07,dbgi_000505_01
A08,dbgi_000538_01
B08,dbgi_000419_01
C08,dbgi_000484_01
D08,dbgi_000539_01
E08,dbgi_000508_01
F08,dbgi_000533_01
G08,dbgi_000547_01
H08,dbgi_000884_01
A09,dbgi_000491_01
B09,dbgi_000493_01
C09,dbgi_000466_01
D09,dbgi_000520_01
E09,dbgi_000472_01
F09,dbgi_000550_01
G09,dbgi_000897_01
H09,dbgi_000395_01
A10,dbgi_000424_01
B10,dbgi_000889_01
C10,dbgi_000895_01
D10,dbgi_000397_01
E10,dbgi_000494_01
F10,dbgi_000492_01
G10,dbgi_000485_01
H10,dbgi_000449_01
A11,dbgi_000379_01
B11,dbgi_000446_01
C11,dbgi_000427_01
D11,dbgi_000390_01
E11,dbgi_000483_01
F11,dbgi_000460_01
G11,dbgi_000499_01
H11,dbgi_000461_01
A12,dbgi_000541_01
B12,dbgi_000540_01
C12,dbgi_000411_01
D12,dbgi_000464_01
E12,dbgi_000513_01
F12,dbgi_000409_01
G12,dbgi_000457_01
H12,dbgi_000382_01
