Position,SampleID,ScannerResult,Status
A01,dbgi_008997_01,AL11853706,ok
B01,dbgi_007688_01,AL11853718,ok
C01,dbgi_007629_01,AL11853730,ok
D01,dbgi_008858_01,AL11853742,ok
E01,dbgi_007617_01,AL11853754,ok
F01,dbgi_008978_01,AL11853766,ok
G01,dbgi_007623_01,AL11853778,ok
H01,dbgi_007621_01,AL11853790,ok
A02,dbgi_007799_01,AL11853707,ok
B02,dbgi_007779_01,AL11853719,ok
C02,dbgi_007642_01,AL11853731,ok
D02,dbgi_008981_01,AL11853743,ok
E02,dbgi_008863_01,AL11853755,ok
F02,dbgi_007691_01,AL11853767,ok
G02,dbgi_008996_01,AL11853779,ok
H02,dbgi_007661_01,AL11853791,ok
A03,dbgi_007835_01,AL11853708,ok
B03,dbgi_007619_01,AL11853720,ok
C03,dbgi_007644_01,AL11853732,ok
D03,dbgi_007188_01,AL11853744,ok
E03,dbgi_008989_01,AL11853756,ok
F03,dbgi_007654_01,AL11853768,ok
G03,dbgi_008995_01,AL11853780,ok
H03,dbgi_007626_01,AL11853792,ok
A04,dbgi_007812_01,AL11853709,ok
B04,dbgi_008962_01,AL11853721,ok
C04,dbgi_007600_01,AL11853733,ok
D04,dbgi_008861_01,AL11853745,ok
E04,dbgi_007657_01,AL11853757,ok
F04,dbgi_007647_01,AL11853769,ok
G04,dbgi_007836_01,AL11853781,ok
H04,dbgi_008963_01,AL11853793,ok
A05,dbgi_007611_01,AL11853710,ok
B05,dbgi_007622_01,AL11853722,ok
C05,dbgi_008992_01,AL11853734,ok
D05,dbgi_008990_01,AL11853746,ok
E05,dbgi_007596_01,AL11853758,ok
F05,dbgi_007837_01,AL11853770,ok
G05,dbgi_008987_01,AL11853782,ok
H05,dbgi_008866_01,AL11853794,ok
A06,dbgi_007724_01,AL11853711,ok
B06,dbgi_007675_01,AL11853723,ok
C06,dbgi_007670_01,AL11853735,ok
D06,dbgi_007755_01,AL11853747,ok
E06,dbgi_007748_01,AL11853759,ok
F06,dbgi_007660_01,AL11853771,ok
G06,dbgi_007800_01,AL11853783,ok
H06,dbgi_007632_01,AL11853795,ok
A07,dbgi_007636_01,AL11853712,ok
B07,dbgi_007766_01,AL11853724,ok
C07,dbgi_007714_01,AL11853736,ok
D07,dbgi_007540_01,AL11853748,ok
E07,dbgi_007715_01,AL11853760,ok
F07,dbgi_007565_01,AL11853772,ok
G07,dbgi_007706_01,AL11853784,ok
H07,dbgi_007658_01,AL11853796,ok
A08,dbgi_007823_01,AL11853713,ok
B08,dbgi_007854_01,AL11853725,ok
C08,dbgi_007855_01,AL11853737,ok
D08,dbgi_007829_01,AL11853749,ok
E08,dbgi_007824_01,AL11853761,ok
F08,dbgi_007809_01,AL11853773,ok
G08,dbgi_007651_01,AL11853785,ok
H08,dbgi_007740_01,AL11853797,ok
A09,dbgi_007570_01,AL11853714,ok
B09,dbgi_007591_02,AL11853726,ok
C09,dbgi_007591_01,AL11853738,ok
D09,dbgi_008860_02,AL11853750,ok
E09,dbgi_007505_01,AL11853762,ok
F09,dbgi_007773_01,AL11853774,ok
G09,dbgi_008869_01,AL11853786,ok
H09,dbgi_008860_01,AL11853798,ok
A10,dbgi_007856_01,AL11853715,ok
B10,dbgi_007605_01,AL11853727,ok
C10,dbgi_008984_01,AL11853739,ok
D10,dbgi_007631_01,AL11853751,ok
E10,dbgi_007845_01,AL11853763,ok
F10,dbgi_007507_01,AL11853775,ok
G10,dbgi_007601_02,AL11853787,ok
H10,dbgi_008980_01,AL11853799,ok
A11,dbgi_007618_01,AL11853716,ok
B11,dbgi_008873_01,AL11853728,ok
C11,dbgi_007566_01,AL11853740,ok
D11,dbgi_007498_01,AL11853752,ok
E11,dbgi_008960_01,AL11853764,ok
F11,dbgi_007652_01,AL11853776,ok
G11,dbgi_007648_01,AL11853788,ok
H11,dbgi_007522_01,AL11853800,ok
A12,dbgi_007601_01,AL11853717,ok
B12,dbgi_007639_01,AL11853729,ok
C12,dbgi_007586_01,AL11853741,ok
D12,dbgi_008864_01,AL11853753,ok
E12,dbgi_008865_01,AL11853765,ok
F12,dbgi_007513_01,AL11853777,ok
G12,dbgi_008985_01,AL11853789,ok
H12,dbgi_002747_01,AL11853801,ok
