Position,SampleID,ScannerResult,Status
A01,dbgi_007247_01,AL11853322,ok
B01,dbgi_007422_01,AL11853334,ok
C01,dbgi_007211_01,AL11853346,ok
D01,dbgi_007216_01,AL11853358,ok
E01,dbgi_007360_01,AL11853370,ok
F01,dbgi_007225_01,AL11853382,ok
G01,dbgi_007256_01,AL11853394,ok
H01,dbgi_003107_01,AL11853406,ok
A02,dbgi_007222_01,AL11853323,ok
B02,dbgi_007200_01,AL11853335,ok
C02,dbgi_007329_01,AL11853347,ok
D02,dbgi_007274_01,AL11853359,ok
E02,dbgi_003082_01,AL11853371,ok
F02,dbgi_003145_01,AL11853383,ok
G02,dbgi_007201_01,AL11853395,ok
H02,dbgi_007204_01,AL11853407,ok
A03,dbgi_007233_01,AL11853324,ok
B03,dbgi_007300_01,AL11853336,ok
C03,dbgi_007180_01,AL11853348,ok
D03,dbgi_003113_01,AL11853360,ok
E03,dbgi_007237_01,AL11853372,ok
F03,dbgi_003081_01,AL11853384,ok
G03,dbgi_003220_01,AL11853396,ok
H03,dbgi_007199_01,AL11853408,ok
A04,dbgi_007255_01,AL11853325,ok
B04,dbgi_007289_01,AL11853337,ok
C04,dbgi_007217_01,AL11853349,ok
D04,dbgi_007183_01,AL11853361,ok
E04,dbgi_007242_01,AL11853373,ok
F04,dbgi_003090_01,AL11853385,ok
G04,dbgi_007226_01,AL11853397,ok
H04,dbgi_007184_01,AL11853409,ok
A05,dbgi_007369_01,AL11853326,ok
B05,dbgi_007321_01,AL11853338,ok
C05,dbgi_007240_01,AL11853350,ok
D05,dbgi_007246_01,AL11853362,ok
E05,dbgi_007399_01,AL11853374,ok
F05,dbgi_007213_01,AL11853386,ok
G05,dbgi_007209_01,AL11853398,ok
H05,dbgi_007219_01,AL11853410,ok
A06,dbgi_007207_01,AL11853327,ok
B06,blk_000040,AL11853339,ok
C06,dbgi_007218_01,AL11853351,ok
D06,dbgi_007227_01,AL11853363,ok
E06,dbgi_003118_01,AL11853375,ok
F06,dbgi_007221_01,AL11853387,ok
G06,dbgi_007447_01,AL11853399,ok
H06,dbgi_007313_01,AL11853411,ok
A07,dbgi_007214_01,AL11853328,ok
B07,dbgi_007275_01,AL11853340,ok
C07,dbgi_007481_01,AL11853352,ok
D07,dbgi_007202_01,AL11853364,ok
E07,dbgi_007254_01,AL11853376,ok
F07,dbgi_007229_01,AL11853388,ok
G07,dbgi_007187_01,AL11853400,ok
H07,dbgi_007238_01,AL11853412,ok
A08,dbgi_007251_01,AL11853329,ok
B08,dbgi_007236_01,AL11853341,ok
C08,dbgi_003207_01,AL11853353,ok
D08,dbgi_003178_01,AL11853365,ok
E08,dbgi_007179_01,AL11853377,ok
F08,dbgi_003182_01,AL11853389,ok
G08,dbgi_007182_01,AL11853401,ok
H08,dbgi_007248_01,AL11853413,ok
A09,dbgi_007215_01,AL11853330,ok
B09,dbgi_007338_01,AL11853342,ok
C09,dbgi_007818_01,AL11853354,ok
D09,dbgi_007606_01,AL11853366,ok
E09,dbgi_007588_01,AL11853378,ok
F09,dbgi_007516_01,AL11853390,ok
G09,dbgi_007708_01,AL11853402,ok
H09,dbgi_007583_01,AL11853414,ok
A10,dbgi_007792_01,AL11853331,ok
B10,dbgi_007643_01,AL11853343,ok
C10,dbgi_007733_01,AL11853355,ok
D10,dbgi_007595_01,AL11853367,ok
E10,dbgi_007738_01,AL11853379,ok
F10,dbgi_008872_01,AL11853391,ok
G10,dbgi_007538_01,AL11853403,ok
H10,dbgi_007597_01,AL11853415,ok
A11,dbgi_007559_01,AL11853332,ok
B11,dbgi_007778_01,AL11853344,ok
C11,dbgi_007659_01,AL11853356,ok
D11,dbgi_007584_01,AL11853368,ok
E11,dbgi_007788_01,AL11853380,ok
F11,dbgi_007503_01,AL11853392,ok
G11,dbgi_008868_01,AL11853404,ok
H11,dbgi_007518_01,AL11853416,ok
A12,dbgi_007780_01,AL11853333,ok
B12,dbgi_007593_01,AL11853345,ok
C12,dbgi_007555_01,AL11853357,ok
D12,dbgi_008876_01,AL11853369,ok
E12,dbgi_008862_01,AL11853381,ok
F12,dbgi_008877_01,AL11853393,ok
G12,dbgi_007638_01,AL11853405,ok
H12,dbgi_007634_01,AL11853417,ok
