Position,SampleID,ScannerResult,Status
A01,dbgi_007345_01,AL11868010,ok
B01,dbgi_007268_01,AL11868022,ok
C01,dbgi_007330_01,AL11868034,ok
D01,dbgi_007286_01,AL11868046,ok
E01,dbgi_007403_01,AL11868058,ok
F01,dbgi_007394_01,AL11868070,ok
G01,dbgi_002723_01,AL11868082,ok
H01,dbgi_002956_01,AL11868094,ok
A02,dbgi_002397_01,AL11868011,ok
B02,dbgi_002921_01,AL11868023,ok
C02,dbgi_002967_01,AL11868035,ok
D02,dbgi_002560_01,AL11868047,ok
E02,dbgi_002656_01,AL11868059,ok
F02,dbgi_002634_01,AL11868071,ok
G02,dbgi_002654_01,AL11868083,ok
H02,dbgi_001167_01,AL11868095,ok
A03,dbgi_002658_01,AL11868012,ok
B03,dbgi_002850_01,AL11868024,ok
C03,dbgi_001761_01,AL11868036,ok
D03,dbgi_001768_01,AL11868048,ok
E03,dbgi_001194_01,AL11868060,ok
F03,dbgi_001762_01,AL11868072,ok
G03,dbgi_001040_01,AL11868084,ok
H03,dbgi_001767_01,AL11868096,ok
A04,dbgi_002308_01,AL11868013,ok
B04,dbgi_002961_01,AL11868025,ok
C04,dbgi_001216_01,AL11868037,ok
D04,dbgi_001212_01,AL11868049,ok
E04,dbgi_002512_01,AL11868061,ok
F04,dbgi_001886_01,AL11868073,ok
G04,dbgi_001203_01,AL11868085,ok
H04,dbgi_001903_01,AL11868097,ok
A05,dbgi_001229_01,AL11868014,ok
B05,dbgi_001198_01,AL11868026,ok
C05,dbgi_002982_01,AL11868038,ok
D05,dbgi_001200_01,AL11868050,ok
E05,dbgi_001791_02,AL11868062,ok
F05,dbgi_002319_01,AL11868074,ok
G05,dbgi_001168_01,AL11868086,ok
H05,dbgi_002604_01,AL11868098,ok
A06,dbgi_002626_01,AL11868015,ok
B06,dbgi_001786_01,AL11868027,ok
C06,dbgi_000545_01,AL11868039,ok
D06,dbgi_001221_01,AL11868051,ok
E06,dbgi_001876_01,AL11868063,ok
F06,dbgi_001136_01,AL11868075,ok
G06,dbgi_001115_01,AL11868087,ok
H06,dbgi_001220_01,AL11868099,ok
A07,dbgi_002912_01,AL11868016,ok
B07,dbgi_002614_01,AL11868028,ok
C07,dbgi_002369_01,AL11868040,ok
D07,dbgi_001897_01,AL11868052,ok
E07,dbgi_001196_01,AL11868064,ok
F07,dbgi_001822_01,AL11868076,ok
G07,dbgi_002878_02,AL11868088,ok
H07,dbgi_001170_01,AL11868100,ok
A08,dbgi_001202_01,AL11868017,ok
B08,dbgi_001214_01,AL11868029,ok
C08,dbgi_002667_01,AL11868041,ok
D08,dbgi_002936_01,AL11868053,ok
E08,dbgi_002910_01,AL11868065,ok
F08,dbgi_002687_01,AL11868077,ok
G08,dbgi_002670_01,AL11868089,ok
H08,dbgi_001780_01,AL11868101,ok
A09,dbgi_002655_01,AL11868018,ok
B09,dbgi_001865_01,AL11868030,ok
C09,dbgi_002685_01,AL11868042,ok
D09,dbgi_001785_01,AL11868054,ok
E09,dbgi_001763_01,AL11868066,ok
F09,dbgi_003078_01,AL11868078,ok
G09,dbgi_002913_01,AL11868090,ok
H09,dbgi_001772_01,AL11868102,ok
A10,dbgi_002692_01,AL11868019,ok
B10,dbgi_002553_01,AL11868031,ok
C10,dbgi_002985_01,AL11868043,ok
D10,dbgi_000960_01,AL11868055,ok
E10,dbgi_001756_01,AL11868067,ok
F10,dbgi_001122_01,AL11868079,ok
G10,dbgi_001208_01,AL11868091,ok
H10,dbgi_002646_01,AL11868103,ok
A11,dbgi_001800_01,AL11868020,ok
B11,dbgi_002724_01,AL11868032,ok
C11,dbgi_001231_01,AL11868044,ok
D11,dbgi_002629_02,AL11868056,ok
E11,dbgi_000518_01,AL11868068,ok
F11,dbgi_001908_01,AL11868080,ok
G11,dbgi_001789_01,AL11868092,ok
H11,dbgi_002762_01,AL11868104,ok
A12,dbgi_002778_01,AL11868021,ok
B12,dbgi_002948_01,AL11868033,ok
C12,dbgi_002812_01,AL11868045,ok
D12,dbgi_002779_01,AL11868057,ok
E12,dbgi_002904_01,AL11868069,ok
F12,dbgi_002953_01,AL11868081,ok
G12,dbgi_002748_01,AL11868093,ok
H12,dbgi_002799_01,AL11868105,ok
