A01,dbgi_002478_01
B01,dbgi_001764_01
C01,dbgi_001875_01
D01,dbgi_001213_01
E01,dbgi_002729_01
F01,dbgi_002332_01
G01,dbgi_001804_01
H01,dbgi_002385_01
A02,dbgi_002636_01
B02,dbgi_002566_01
C02,dbgi_002493_01
D02,dbgi_002452_01
E02,dbgi_003046_01
F02,dbgi_001910_01
G02,dbgi_002623_01
H02,dbgi_002356_01
A03,dbgi_002962_01
B03,dbgi_002628_01
C03,dbgi_002429_01
D03,dbgi_002321_01
E03,dbgi_003011_01
F03,dbgi_002660_01
G03,dbgi_001884_01
H03,dbgi_001859_01
A04,dbgi_002279_01
B04,dbgi_002523_01
C04,dbgi_002618_01
D04,dbgi_002509_01
E04,dbgi_001773_01
F04,dbgi_002532_01
G04,dbgi_001894_01
H04,dbgi_001869_01
A05,dbgi_002622_01
B05,dbgi_002482_01
C05,dbgi_002496_01
D05,dbgi_002483_01
E05,dbgi_001781_01
F05,dbgi_001774_01
G05,dbgi_003043_01
H05,dbgi_001805_01
A06,dbgi_002498_01
B06,dbgi_001828_01
C06,dbgi_002536_01
D06,dbgi_002454_01
E06,dbgi_002489_01
F06,dbgi_001215_01
G06,dbgi_003058_01
H06,dbgi_001922_01
A07,dbgi_002519_01
B07,dbgi_002277_01
C07,dbgi_002275_01
D07,dbgi_002613_01
E07,dbgi_002501_01
F07,dbgi_002335_01
G07,dbgi_001861_01
H07,dbgi_001915_01
A08,dbgi_002653_01
B08,dbgi_002469_01
C08,dbgi_002425_01
D08,dbgi_002641_01
E08,dbgi_001858_01
F08,dbgi_003056_01
G08,dbgi_001912_01
H08,dbgi_001199_01
A09,dbgi_002650_01
B09,dbgi_002603_01
C09,dbgi_002521_01
D09,dbgi_002437_01
E09,dbgi_001836_01
F09,dbgi_001873_01
G09,dbgi_002975_01
H09,dbgi_002542_01
A10,dbgi_002677_01
B10,dbgi_002294_01
C10,dbgi_003045_01
D10,dbgi_001809_01
E10,dbgi_001860_01
F10,dbgi_001893_01
G10,dbgi_002728_01
H10,dbgi_002645_01
A11,dbgi_003030_01
B11,dbgi_001863_01
C11,dbgi_002704_01
D11,dbgi_001848_01
E11,dbgi_002247_01
F11,dbgi_003035_01
G11,dbgi_003021_01
H11,dbgi_002487_01
A12,dbgi_002388_01
B12,dbgi_002272_01
C12,dbgi_002288_01
D12,dbgi_002250_01
E12,dbgi_002265_01
F12,dbgi_001895_01
G12,dbgi_001870_01
H12,dbgi_002246_01
