Position,SampleID,ScannerResult,Status
A01,dbgi_007440_01,AL11852746,ok
B01,dbgi_007347_01,AL11852758,ok
C01,dbgi_007396_01,AL11852770,ok
D01,dbgi_007495_01,AL11852782,ok
E01,dbgi_007544_01,AL11852794,ok
F01,dbgi_007703_01,AL11852806,ok
G01,dbgi_007705_01,AL11852818,ok
H01,dbgi_007787_01,AL11852830,ok
A02,dbgi_007794_01,AL11852747,ok
B02,dbgi_007775_01,AL11852759,ok
C02,dbgi_007768_01,AL11852771,ok
D02,dbgi_007797_01,AL11852783,ok
E02,dbgi_007534_01,AL11852795,ok
F02,dbgi_007679_01,AL11852807,ok
G02,dbgi_007746_01,AL11852819,ok
H02,dbgi_007310_01,AL11852831,ok
A03,dbgi_007667_01,AL11852748,ok
B03,blk_000058,AL11852760,ok
C03,dbgi_007231_01,AL11852772,ok
D03,dbgi_007486_01,AL11852784,ok
E03,dbgi_007814_01,AL11852796,ok
F03,dbgi_003188_01,AL11852808,ok
G03,dbgi_007645_01,AL11852820,ok
H03,dbgi_007429_01,AL11852832,ok
A04,dbgi_007769_01,AL11852749,ok
B04,dbgi_007716_01,AL11852761,ok
C04,dbgi_007682_01,AL11852773,ok
D04,dbgi_007662_01,AL11852785,ok
E04,dbgi_007734_01,AL11852797,ok
F04,dbgi_007194_01,AL11852809,ok
G04,dbgi_007234_01,AL11852821,ok
H04,dbgi_007189_01,AL11852833,ok
A05,dbgi_007185_01,AL11852750,ok
B05,dbgi_003071_01,AL11852762,ok
C05,dbgi_007730_01,AL11852774,ok
D05,dbgi_007335_01,AL11852786,ok
E05,dbgi_007344_01,AL11852798,ok
F05,dbgi_007322_01,AL11852810,ok
G05,dbgi_007804_01,AL11852822,ok
H05,dbgi_007303_01,AL11852834,ok
A06,dbgi_007726_01,AL11852751,ok
B06,dbgi_007245_01,AL11852763,ok
C06,dbgi_007212_01,AL11852775,ok
D06,dbgi_007731_01,AL11852787,ok
E06,dbgi_007418_01,AL11852799,ok
F06,dbgi_007465_01,AL11852811,ok
G06,dbgi_007808_01,AL11852823,ok
H06,dbgi_007720_01,AL11852835,ok
A07,dbgi_007497_01,AL11852752,ok
B07,dbgi_007299_01,AL11852764,ok
C07,dbgi_007480_01,AL11852776,ok
D07,dbgi_007203_01,AL11852788,ok
E07,dbgi_007206_01,AL11852800,ok
F07,dbgi_007386_01,AL11852812,ok
G07,dbgi_007646_01,AL11852824,ok
H07,dbgi_007333_01,AL11852836,ok
A08,dbgi_007704_01,AL11852753,ok
B08,dbgi_007736_01,AL11852765,ok
C08,dbgi_007743_01,AL11852777,ok
D08,dbgi_007235_01,AL11852789,ok
E08,dbgi_007269_01,AL11852801,ok
F08,dbgi_007709_01,AL11852813,ok
G08,dbgi_007700_01,AL11852825,ok
H08,dbgi_007230_01,AL11852837,ok
A09,dbgi_007702_01,AL11852754,ok
B09,dbgi_007707_01,AL11852766,ok
C09,dbgi_007712_01,AL11852778,ok
D09,dbgi_007671_01,AL11852790,ok
E09,dbgi_007701_01,AL11852802,ok
F09,dbgi_007744_01,AL11852814,ok
G09,dbgi_007791_01,AL11852826,ok
H09,dbgi_007710_01,AL11852838,ok
A10,dbgi_007697_01,AL11852755,ok
B10,dbgi_007719_01,AL11852767,ok
C10,dbgi_007640_01,AL11852779,ok
D10,dbgi_007630_01,AL11852791,ok
E10,dbgi_007763_01,AL11852803,ok
F10,dbgi_007721_01,AL11852815,ok
G10,dbgi_007685_01,AL11852827,ok
H10,dbgi_007677_01,AL11852839,ok
A11,dbgi_007665_01,AL11852756,ok
B11,dbgi_007813_01,AL11852768,ok
C11,dbgi_007687_01,AL11852780,ok
D11,dbgi_007758_01,AL11852792,ok
E11,dbgi_007641_01,AL11852804,ok
F11,dbgi_007692_01,AL11852816,ok
G11,dbgi_007620_01,AL11852828,ok
H11,dbgi_007672_01,AL11852840,ok
A12,dbgi_007208_01,AL11852757,ok
B12,dbgi_007726_01,AL11852769,ok
C12,dbgi_007328_01,AL11852781,ok
D12,dbgi_007278_01,AL11852793,ok
E12,dbgi_007676_01,AL11852805,ok
F12,dbgi_007441_01,AL11852817,ok
G12,dbgi_007759_01,AL11852829,ok
H12,dbgi_007729_01,AL11852841,ok
