Position,SampleID,ScannerResult,Status
A01,dbgi_002930_01,AL11853898,ok
B01,dbgi_002238_01,AL11853910,ok
C01,dbgi_001930_01,AL11853922,ok
D01,dbgi_002649_01,AL11853934,ok
E01,dbgi_001179_01,AL11853946,ok
F01,dbgi_001932_01,AL11853958,ok
G01,dbgi_001223_01,AL11853970,ok
H01,dbgi_002291_01,AL11853982,ok
A02,dbgi_002384_01,AL11853899,ok
B02,dbgi_002920_01,AL11853911,ok
C02,dbgi_002957_01,AL11853923,ok
D02,dbgi_002631_01,AL11853935,ok
E02,dbgi_002587_01,AL11853947,ok
F02,dbgi_002573_01,AL11853959,ok
G02,dbgi_002630_01,AL11853971,ok
H02,dbgi_002681_01,AL11853983,ok
A03,dbgi_001907_01,AL11853900,ok
B03,dbgi_002262_01,AL11853912,ok
C03,dbgi_002408_01,AL11853924,ok
D03,dbgi_002617_01,AL11853936,ok
E03,dbgi_001117_01,AL11853948,ok
F03,dbgi_002435_01,AL11853960,ok
G03,dbgi_001242_01,AL11853972,ok
H03,dbgi_002368_01,AL11853984,ok
A04,dbgi_002926_01,AL11853901,ok
B04,dbgi_002565_01,AL11853913,ok
C04,dbgi_002426_01,AL11853925,ok
D04,dbgi_002931_01,AL11853937,ok
E04,dbgi_002297_01,AL11853949,ok
F04,dbgi_000929_01,AL11853961,ok
G04,dbgi_002937_01,AL11853973,ok
H04,dbgi_002639_01,AL11853985,ok
A05,dbgi_002540_01,AL11853902,ok
B05,dbgi_002563_01,AL11853914,ok
C05,dbgi_002412_01,AL11853926,ok
D05,dbgi_002347_01,AL11853938,ok
E05,dbgi_002657_01,AL11853950,ok
F05,dbgi_002293_01,AL11853962,ok
G05,dbgi_002302_01,AL11853974,ok
H05,dbgi_001749_01,AL11853986,ok
A06,dbgi_002925_01,AL11853903,ok
B06,dbgi_002316_01,AL11853915,ok
C06,dbgi_001121_01,AL11853927,ok
D06,dbgi_001226_01,AL11853939,ok
E06,dbgi_001233_01,AL11853951,ok
F06,dbgi_002570_01,AL11853963,ok
G06,dbgi_002678_01,AL11853975,ok
H06,dbgi_001248_01,AL11853987,ok
A07,dbgi_batch_blk_000005,AL11853904,ok
B07,dbgi_002716_01,AL11853916,ok
C07,dbgi_002610_01,AL11853928,ok
D07,dbgi_001918_01,AL11853940,ok
E07,dbgi_002718_01,AL11853952,ok
F07,dbgi_002995_01,AL11853964,ok
G07,dbgi_002701_01,AL11853976,ok
H07,dbgi_002264_01,AL11853988,ok
A08,dbgi_002544_01,AL11853905,ok
B08,dbgi_002555_01,AL11853917,ok
C08,dbgi_001779_01,AL11853929,ok
D08,dbgi_003059_01,AL11853941,ok
E08,dbgi_002893_01,AL11853953,ok
F08,dbgi_002609_01,AL11853965,ok
G08,dbgi_003000_01,AL11853977,ok
H08,dbgi_001219_01,AL11853989,ok
A09,dbgi_002708_01,AL11853906,ok
B09,dbgi_002539_01,AL11853918,ok
C09,dbgi_002271_01,AL11853930,ok
D09,dbgi_002719_01,AL11853942,ok
E09,dbgi_002706_01,AL11853954,ok
F09,dbgi_001802_01,AL11853966,ok
G09,dbgi_002546_01,AL11853978,ok
H09,dbgi_001901_01,AL11853990,ok
A10,dbgi_002594_01,AL11853907,ok
B10,dbgi_002568_01,AL11853919,ok
C10,dbgi_002662_01,AL11853931,ok
D10,dbgi_001879_01,AL11853943,ok
E10,dbgi_001807_01,AL11853955,ok
F10,dbgi_001759_01,AL11853967,ok
G10,dbgi_002394_01,AL11853979,ok
H10,dbgi_002575_01,AL11853991,ok
A11,dbgi_002590_01,AL11853908,ok
B11,dbgi_002538_01,AL11853920,ok
C11,dbgi_003005_01,AL11853932,ok
D11,dbgi_002669_01,AL11853944,ok
E11,dbgi_001849_01,AL11853956,ok
F11,dbgi_002258_01,AL11853968,ok
G11,dbgi_003061_01,AL11853980,ok
H11,dbgi_001934_01,AL11853992,ok
A12,dbgi_002971_01,AL11853909,ok
B12,dbgi_002577_01,AL11853921,ok
C12,dbgi_001919_01,AL11853933,ok
D12,dbgi_002627_01,AL11853945,ok
E12,dbgi_001834_01,AL11853957,ok
F12,dbgi_002280_01,AL11853969,ok
G12,dbgi_batch_blk_000003,AL11853981,ok
H12,dbgi_002644_01,AL11853993,ok
