Position,SampleID,ScannerResult,Status
A01,dbgi_000073_01,AL11868490,ok
B01,dbgi_000072_01,AL11868502,ok
C01,dbgi_000086_01,AL11868514,ok
D01,dbgi_000109_01,AL11868526,ok
E01,dbgi_000095_01,AL11868538,ok
F01,dbgi_000085_01,AL11868550,ok
G01,dbgi_000064_01,AL11868562,ok
H01,dbgi_000088_01,AL11868574,ok
A02,dbgi_000087_01,AL11868491,ok
B02,dbgi_000096_01,AL11868503,ok
C02,dbgi_000041_01,AL11868515,ok
D02,dbgi_000097_01,AL11868527,ok
E02,dbgi_000066_01,AL11868539,ok
F02,dbgi_000054_01,AL11868551,ok
G02,dbgi_000103_01,AL11868563,ok
H02,dbgi_000106_01,AL11868575,ok
A03,dbgi_000060_01,AL11868492,ok
B03,dbgi_000068_01,AL11868504,ok
C03,dbgi_000061_01,AL11868516,ok
D03,dbgi_000118_01,AL11868528,ok
E03,dbgi_000091_01,AL11868540,ok
F03,dbgi_000076_01,AL11868552,ok
G03,dbgi_000077_01,AL11868564,ok
H03,dbgi_000027_02,AL11868576,ok
A04,dbgi_000055_01,AL11868493,ok
B04,dbgi_000051_01,AL11868505,ok
C04,dbgi_000081_01,AL11868517,ok
D04,dbgi_000057_01,AL11868529,ok
E04,dbgi_000098_01,AL11868541,ok
F04,dbgi_000092_01,AL11868553,ok
G04,dbgi_000120_01,AL11868565,ok
H04,dbgi_000030_02,AL11868577,ok
A05,dbgi_000078_01,AL11868494,ok
B05,dbgi_000049_01,AL11868506,ok
C05,dbgi_000093_01,AL11868518,ok
D05,dbgi_000050_01,AL11868530,ok
E05,dbgi_000090_01,AL11868542,ok
F05,dbgi_000099_01,AL11868554,ok
G05,dbgi_000083_01,AL11868566,ok
H05,dbgi_000091_02,AL11868578,ok
A06,dbgi_000042_01,AL11868495,ok
B06,dbgi_000074_01,AL11868507,ok
C06,dbgi_000045_01,AL11868519,ok
D06,dbgi_000089_01,AL11868531,ok
E06,dbgi_000056_01,AL11868543,ok
F06,dbgi_000063_01,AL11868555,ok
G06,dbgi_000070_01,AL11868567,ok
H06,dbgi_000107_02,AL11868579,ok
A07,dbgi_000110_01,AL11868496,ok
B07,dbgi_000062_01,AL11868508,ok
C07,dbgi_000044_01,AL11868520,ok
D07,dbgi_000104_01,AL11868532,ok
E07,dbgi_000101_01,AL11868544,ok
F07,dbgi_000094_01,AL11868556,ok
G07,dbgi_000107_01,AL11868568,ok
H07,dbgi_000053_02,AL11868580,ok
A08,dbgi_000007_02,AL11868497,ok
B08,dbgi_000105_02,AL11868509,ok
C08,dbgi_000036_02,AL11868521,ok
D08,dbgi_000056_02,AL11868533,ok
E08,dbgi_000024_02,AL11868545,ok
F08,dbgi_000100_01,AL11868557,ok
G08,dbgi_000058_01,AL11868569,ok
H08,dbgi_000102_01,AL11868581,ok
A09,dbgi_000080_01,AL11868498,ok
B09,dbgi_000122_01,AL11868510,ok
C09,dbgi_000079_01,AL11868522,ok
D09,dbgi_000084_01,AL11868534,ok
E09,dbgi_000082_01,AL11868546,ok
F09,dbgi_000075_01,AL11868558,ok
G09,dbgi_000115_01,AL11868570,ok
H09,dbgi_000019_01,AL11868582,ok
A10,dbgi_000011_01,AL11868499,ok
B10,dbgi_000016_01,AL11868511,ok
C10,dbgi_000003_01,AL11868523,ok
D10,dbgi_000001_01,AL11868535,ok
E10,dbgi_000005_01,AL11868547,ok
F10,dbgi_000018_01,AL11868559,ok
G10,dbgi_000032_01,AL11868571,ok
H10,dbgi_000009_01,AL11868583,ok
A11,dbgi_000022_01,AL11868500,ok
B11,dbgi_000017_01,AL11868512,ok
C11,dbgi_000020_01,AL11868524,ok
D11,dbgi_000007_01,AL11868536,ok
E11,dbgi_000004_01,AL11868548,ok
F11,dbgi_000014_01,AL11868560,ok
G11,dbgi_000023_01,AL11868572,ok
H11,dbgi_000025_01,AL11868584,ok
A12,dbgi_000027_01,AL11868501,ok
B12,dbgi_000021_01,AL11868513,ok
C12,dbgi_000015_01,AL11868525,ok
D12,dbgi_000031_01,AL11868537,ok
E12,dbgi_000013_01,AL11868549,ok
F12,dbgi_000012_01,AL11868561,ok
G12,dbgi_000006_01,AL11868573,ok
H12,dbgi_000002_01,AL11868585,ok
