A01,dbgi_007628_01
B01,dbgi_007821_01
C01,dbgi_007831_01
D01,dbgi_007501_01
E01,dbgi_007843_01
F01,dbgi_007819_01
G01,dbgi_007841_01
H01,dbgi_007848_01
A02,dbgi_007847_01
B02,dbgi_007842_01
C02,dbgi_007838_01
D02,dbgi_007822_01
E02,dbgi_007849_01
F02,dbgi_007850_01
G02,dbgi_007846_01
H02,blk_000059
A03,dbgi_007694_01
B03,dbgi_007815_01
C03,dbgi_007635_01
D03,dbgi_007680_01
E03,dbgi_007749_01
F03,dbgi_007764_01
G03,dbgi_007832_01
H03,dbgi_007828_01
A04,dbgi_007560_01
B04,dbgi_007789_01
C04,dbgi_007784_01
D04,dbgi_007760_01
E04,dbgi_007681_01
F04,dbgi_007656_01
G04,dbgi_007690_01
H04,dbgi_007674_01
A05,dbgi_007520_01
B05,dbgi_007747_01
C05,dbgi_007728_01
D05,dbgi_007802_01
E05,dbgi_007650_01
F05,dbgi_007745_01
G05,dbgi_007575_01
H05,dbgi_007725_01
A06,dbgi_007547_01
B06,dbgi_007558_01
C06,dbgi_007762_01
D06,dbgi_007669_01
E06,dbgi_007785_01
F06,dbgi_007732_01
G06,dbgi_007751_01
H06,dbgi_007770_01
A07,dbgi_007514_01
B07,dbgi_007767_01
C07,dbgi_007803_01
D07,dbgi_007561_01
E07,dbgi_007557_01
F07,dbgi_007589_01
G07,dbgi_007510_01
H07,dbgi_007782_01
A08,dbgi_007742_01
B08,dbgi_007795_01
C08,dbgi_007401_01
D08,dbgi_007613_01
E08,dbgi_007573_01
F08,dbgi_007806_01
G08,dbgi_007753_01
H08,dbgi_007530_01
A09,dbgi_007798_01
B09,dbgi_007533_01
C09,dbgi_007801_01
D09,dbgi_007532_01
E09,dbgi_007727_01
F09,dbgi_007515_01
G09,dbgi_007564_01
H09,dbgi_007500_01
A10,dbgi_007790_01
B10,dbgi_007771_01
C10,dbgi_007535_01
D10,dbgi_007567_01
E10,dbgi_007774_01
F10,dbgi_007527_01
G10,dbgi_007834_01
H10,dbgi_007581_01
A11,dbgi_007851_01
B11,dbgi_008859_01
C11,dbgi_008867_01
D11,dbgi_007776_01
E11,dbgi_007717_01
F11,dbgi_007840_01
G11,dbgi_007844_01
H11,dbgi_008983_01
A12,dbgi_007615_01
B12,dbgi_007637_01
C12,dbgi_007693_01
D12,dbgi_007563_01
E12,dbgi_007585_01
F12,dbgi_008982_01
G12,dbgi_007521_01
H12,dbgi_008991_01
