A01,dbgi_007757_01
B01,dbgi_007820_01
C01,dbgi_007598_01
D01,dbgi_007582_01
E01,dbgi_007531_01
F01,dbgi_007574_01
G01,dbgi_007528_01
H01,dbgi_008874_01
A02,dbgi_007817_01
B02,dbgi_007551_01
C02,dbgi_007569_01
D02,dbgi_007571_01
E02,dbgi_007592_01
F02,dbgi_007633_01
G02,dbgi_007556_01
H02,dbgi_007508_01
A03,dbgi_007739_01
B03,dbgi_007673_01
C03,dbgi_007793_01
D03,dbgi_007723_01
E03,dbgi_007627_01
F03,dbgi_007568_01
G03,dbgi_007698_01
H03,dbgi_007546_01
A04,dbgi_007616_01
B04,dbgi_008870_01
C04,dbgi_007517_01
D04,dbgi_007543_01
E04,dbgi_007578_01
F04,dbgi_007718_01
G04,dbgi_007796_01
H04,dbgi_007512_01
A05,dbgi_007455_01
B05,dbgi_007458_01
C05,dbgi_007425_01
D05,dbgi_007750_01
E05,dbgi_007684_01
F05,dbgi_007525_01
G05,dbgi_007529_01
H05,dbgi_007499_01
A06,dbgi_007450_01
B06,dbgi_007502_01
C06,dbgi_007473_01
D06,dbgi_007765_01
E06,dbgi_007689_01
F06,dbgi_007423_01
G06,dbgi_007524_01
H06,dbgi_007683_01
A07,dbgi_007489_01
B07,dbgi_007445_01
C07,dbgi_007414_01
D07,dbgi_007666_01
E07,dbgi_007699_01
F07,dbgi_007696_01
G07,dbgi_007509_01
H07,dbgi_007686_01
A08,dbgi_007372_01
B08,dbgi_007426_01
C08,dbgi_007488_01
D08,dbgi_007439_01
E08,dbgi_007475_01
F08,dbgi_007783_01
G08,dbgi_007576_01
H08,dbgi_007579_01
A09,dbgi_007562_01
B09,dbgi_007351_01
C09,dbgi_007494_01
D09,dbgi_007350_01
E09,dbgi_007735_01
F09,dbgi_007737_01
G09,dbgi_007519_01
H09,dbgi_007587_01
A10,dbgi_007315_01
B10,dbgi_007398_01
C10,dbgi_007479_01
D10,dbgi_007464_01
E10,dbgi_007419_01
F10,dbgi_007772_01
G10,dbgi_007711_01
H10,dbgi_007504_01
A11,dbgi_007342_01
B11,dbgi_007407_01
C11,dbgi_007341_01
D11,dbgi_007417_01
E11,dbgi_007438_01
F11,dbgi_007752_01
G11,dbgi_007664_01
H11,dbgi_007668_01
A12,dbgi_007474_01
B12,dbgi_007382_01
C12,dbgi_007411_01
D12,dbgi_007387_01
E12,dbgi_007539_01
F12,dbgi_007549_01
G12,dbgi_007536_01
H12,dbgi_007805_01
