A01,dbgi_007440_01
B01,dbgi_007347_01
C01,dbgi_007396_01
D01,dbgi_007495_01
E01,dbgi_007544_01
F01,dbgi_007703_01
G01,dbgi_007705_01
H01,dbgi_007787_01
A02,dbgi_007794_01
B02,dbgi_007775_01
C02,dbgi_007768_01
D02,dbgi_007797_01
E02,dbgi_007534_01
F02,dbgi_007679_01
G02,dbgi_007746_01
H02,dbgi_007310_01
A03,dbgi_007667_01
B03,blk_000058
C03,dbgi_007231_01
D03,dbgi_007486_01
E03,dbgi_007814_01
F03,dbgi_003188_01
G03,dbgi_007645_01
H03,dbgi_007429_01
A04,dbgi_007769_01
B04,dbgi_007716_01
C04,dbgi_007682_01
D04,dbgi_007662_01
E04,dbgi_007734_01
F04,dbgi_007194_01
G04,dbgi_007234_01
H04,dbgi_007189_01
A05,dbgi_007185_01
B05,dbgi_003071_01
C05,dbgi_007730_01
D05,dbgi_007335_01
E05,dbgi_007344_01
F05,dbgi_007322_01
G05,dbgi_007804_01
H05,dbgi_007303_01
A06,dbgi_007726_01
B06,dbgi_007245_01
C06,dbgi_007212_01
D06,dbgi_007731_01
E06,dbgi_007418_01
F06,dbgi_007465_01
G06,dbgi_007808_01
H06,dbgi_007720_01
A07,dbgi_007497_01
B07,dbgi_007299_01
C07,dbgi_007480_01
D07,dbgi_007203_01
E07,dbgi_007206_01
F07,dbgi_007386_01
G07,dbgi_007646_01
H07,dbgi_007333_01
A08,dbgi_007704_01
B08,dbgi_007736_01
C08,dbgi_007743_01
D08,dbgi_007235_01
E08,dbgi_007269_01
F08,dbgi_007709_01
G08,dbgi_007700_01
H08,dbgi_007230_01
A09,dbgi_007702_01
B09,dbgi_007707_01
C09,dbgi_007712_01
D09,dbgi_007671_01
E09,dbgi_007701_01
F09,dbgi_007744_01
G09,dbgi_007791_01
H09,dbgi_007710_01
A10,dbgi_007697_01
B10,dbgi_007719_01
C10,dbgi_007640_01
D10,dbgi_007630_01
E10,dbgi_007763_01
F10,dbgi_007721_01
G10,dbgi_007685_01
H10,dbgi_007677_01
A11,dbgi_007665_01
B11,dbgi_007813_01
C11,dbgi_007687_01
D11,dbgi_007758_01
E11,dbgi_007641_01
F11,dbgi_007692_01
G11,dbgi_007620_01
H11,dbgi_007672_01
A12,dbgi_007208_01
B12,dbgi_007726_01
C12,dbgi_007328_01
D12,dbgi_007278_01
E12,dbgi_007676_01
F12,dbgi_007441_01
G12,dbgi_007759_01
H12,dbgi_007729_01
