A01,dbgi_000073_01
B01,dbgi_000072_01
C01,dbgi_000086_01
D01,dbgi_000109_01
E01,dbgi_000095_01
F01,dbgi_000085_01
G01,dbgi_000064_01
H01,dbgi_000088_01
A02,dbgi_000087_01
B02,dbgi_000096_01
C02,dbgi_000041_01
D02,dbgi_000097_01
E02,dbgi_000066_01
F02,dbgi_000054_01
G02,dbgi_000103_01
H02,dbgi_000106_01
A03,dbgi_000060_01
B03,dbgi_000068_01
C03,dbgi_000061_01
D03,dbgi_000118_01
E03,dbgi_000091_01
F03,dbgi_000076_01
G03,dbgi_000077_01
H03,dbgi_000027_02
A04,dbgi_000055_01
B04,dbgi_000051_01
C04,dbgi_000081_01
D04,dbgi_000057_01
E04,dbgi_000098_01
F04,dbgi_000092_01
G04,dbgi_000120_01
H04,dbgi_000030_02
A05,dbgi_000078_01
B05,dbgi_000049_01
C05,dbgi_000093_01
D05,dbgi_000050_01
E05,dbgi_000090_01
F05,dbgi_000099_01
G05,dbgi_000083_01
H05,dbgi_000091_02
A06,dbgi_000042_01
B06,dbgi_000074_01
C06,dbgi_000045_01
D06,dbgi_000089_01
E06,dbgi_000056_01
F06,dbgi_000063_01
G06,dbgi_000070_01
H06,dbgi_000107_02
A07,dbgi_000110_01
B07,dbgi_000062_01
C07,dbgi_000044_01
D07,dbgi_000104_01
E07,dbgi_000101_01
F07,dbgi_000094_01
G07,dbgi_000107_01
H07,dbgi_000053_02
A08,dbgi_000007_02
B08,dbgi_000105_02
C08,dbgi_000036_02
D08,dbgi_000056_02
E08,dbgi_000024_02
F08,dbgi_000100_01
G08,dbgi_000058_01
H08,dbgi_000102_01
A09,dbgi_000080_01
B09,dbgi_000122_01
C09,dbgi_000079_01
D09,dbgi_000084_01
E09,dbgi_000082_01
F09,dbgi_000075_01
G09,dbgi_000115_01
H09,dbgi_000019_01
A10,dbgi_000011_01
B10,dbgi_000016_01
C10,dbgi_000003_01
D10,dbgi_000001_01
E10,dbgi_000005_01
F10,dbgi_000018_01
G10,dbgi_000032_01
H10,dbgi_000009_01
A11,dbgi_000022_01
B11,dbgi_000017_01
C11,dbgi_000020_01
D11,dbgi_000007_01
E11,dbgi_000004_01
F11,dbgi_000014_01
G11,dbgi_000023_01
H11,dbgi_000025_01
A12,dbgi_000027_01
B12,dbgi_000021_01
C12,dbgi_000015_01
D12,dbgi_000031_01
E12,dbgi_000013_01
F12,dbgi_000012_01
G12,dbgi_000006_01
H12,dbgi_000002_01
