A01,dbgi_001039_01
B01,dbgi_001041_01
C01,dbgi_001045_01
D01,dbgi_001049_01
E01,dbgi_001054_01
F01,dbgi_001057_01
G01,dbgi_001112_01
H01,dbgi_001116_01
A02,dbgi_001024_01
B02,dbgi_001025_01
C02,dbgi_001026_01
D02,dbgi_001027_01
E02,dbgi_001033_01
F02,dbgi_001034_01
G02,dbgi_001035_01
H02,dbgi_001036_01
A03,dbgi_001013_01
B03,dbgi_001014_01
C03,dbgi_001016_01
D03,dbgi_001017_01
E03,dbgi_001018_01
F03,dbgi_001019_01
G03,dbgi_001020_01
H03,dbgi_001021_01
A04,dbgi_000999_01
B04,dbgi_001000_01
C04,dbgi_001001_01
D04,dbgi_001002_01
E04,dbgi_001003_01
F04,dbgi_001004_01
G04,dbgi_001007_01
H04,dbgi_001010_01
A05,dbgi_000990_01
B05,dbgi_000991_01
C05,dbgi_000992_01
D05,dbgi_000993_01
E05,dbgi_000994_01
F05,dbgi_000995_01
G05,dbgi_000996_01
H05,dbgi_000997_01
A06,dbgi_000998_01
B06,dbgi_001011_01
C06,dbgi_01_04_038
D06,dbgi_01_04_045
E06,dbgi_01_04_044
F06,dbgi_01_04_078
G06,dbgi_01_04_048
H06,dbgi_01_04_013
A07,dbgi_01_04_079
B07,dbgi_01_04_026
C07,dbgi_01_11_006
D07,dbgi_01_11_023
E07,dbgi_01_04_067
F07,dbgi_01_04_092
G07,dbgi_01_04_031
H07,dbgi_01_04_094
A08,dbgi_01_11_022
B08,dbgi_01_11_020
C08,dbgi_01_04_095
D08,dbgi_01_11_013
E08,dbgi_01_04_077
F08,dbgi_01_04_055
G08,dbgi_000392_01
H08,dbgi_000565_01
A09,dbgi_000559_01
B09,dbgi_000426_01
C09,dbgi_000567_01
D09,dbgi_000546_01
E09,dbgi_000415_01
F09,dbgi_000400_01
G09,dbgi_000393_01
H09,dbgi_000486_01
A10,dbgi_000885_01
B10,dbgi_000534_01
C10,dbgi_000388_01
D10,dbgi_000474_01
E10,dbgi_000436_01
F10,
G10,
H10,
A11,
B11,
C11,
D11,
E11,
F11,
G11,
H11,
A12,
B12,
C12,
D12,
E12,
F12,
G12,
H12,
