A01,dbgi_000448_01
B01,dbgi_000876_01
C01,dbgi_000442_01
D01,dbgi_000542_01
E01,dbgi_000980_01
F01,dbgi_000441_01
G01,dbgi_000503_01
H01,dbgi_000475_01
A02,dbgi_000401_01
B02,dbgi_000561_01
C02,dbgi_000425_01
D02,dbgi_000981_01
E02,dbgi_000982_01
F02,dbgi_000983_01
G02,dbgi_000984_01
H02,dbgi_000986_01
A03,dbgi_000987_01
B03,dbgi_000988_01
C03,dbgi_000989_01
D03,dbgi_000979_01
E03,dbgi_000968_01
F03,dbgi_000958_01
G03,dbgi_000949_01
H03,dbgi_000940_01
A04,dbgi_000969_01
B04,dbgi_000970_01
C04,dbgi_000972_01
D04,dbgi_000973_01
E04,dbgi_000974_01
F04,dbgi_000976_01
G04,dbgi_000977_01
H04,dbgi_000978 _01
A05,dbgi_000959_01
B05,dbgi_000961_01
C05,dbgi_000962_01
D05,dbgi_000963_01
E05,dbgi_000964_01
F05,dbgi_000965_01
G05,dbgi_000966_01
H05,dbgi_000967_01
A06,dbgi_000950_01
B06,dbgi_000951_01
C06,dbgi_000952_01
D06,dbgi_000953_01
E06,dbgi_000954_01
F06,dbgi_000955_01
G06,dbgi_000956_01
H06,dbgi_000957_01
A07,dbgi_000941_01
B07,dbgi_000942_01
C07,dbgi_000943_01
D07,dbgi_000944_01
E07,dbgi_000945_01
F07,dbgi_000946_01
G07,dbgi_000947_01
H07,dbgi_000948_01
A08,dbgi_000932_01
B08,dbgi_000933_01
C08,dbgi_000934_01
D08,dbgi_000935_01
E08,dbgi_000936_01
F08,dbgi_000937_01
G08,dbgi_000938_01
H08,dbgi_000939_01
A09,dbgi_000922_01
B09,dbgi_000923_01
C09,dbgi_000924_01
D09,dbgi_000925_01
E09,dbgi_000926_01
F09,dbgi_000927_01
G09,dbgi_000928_01
H09,dbgi_000930_01
A10,dbgi_000908_01
B10,dbgi_000910_01
C10,dbgi_000912_01
D10,dbgi_000913_01
E10,dbgi_000915_01
F10,dbgi_000917_01
G10,dbgi_000919_01
H10,dbgi_000920_01
A11,dbgi_000879_01
B11,dbgi_000900_01
C11,dbgi_000901_01
D11,dbgi_000902_01
E11,dbgi_000903_01
F11,dbgi_000904_01
G11,dbgi_000905_01
H11,dbgi_000906_01
A12,dbgi_000907_01
B12,dbgi_000921_01
C12,dbgi_000931_01
D12,dbgi_001134_01
E12,dbgi_001125_01
F12,dbgi_001119_01
G12,dbgi_001038_01
H12,dbgi_001023_01
