A01,dbgi_007247_01
B01,dbgi_007422_01
C01,dbgi_007211_01
D01,dbgi_007216_01
E01,dbgi_007360_01
F01,dbgi_007225_01
G01,dbgi_007256_01
H01,dbgi_003107_01
A02,dbgi_007222_01
B02,dbgi_007200_01
C02,dbgi_007329_01
D02,dbgi_007274_01
E02,dbgi_003082_01
F02,dbgi_003145_01
G02,dbgi_007201_01
H02,dbgi_007204_01
A03,dbgi_007233_01
B03,dbgi_007300_01
C03,dbgi_007180_01
D03,dbgi_003113_01
E03,dbgi_007237_01
F03,dbgi_003081_01
G03,dbgi_003220_01
H03,dbgi_007199_01
A04,dbgi_007255_01
B04,dbgi_007289_01
C04,dbgi_007217_01
D04,dbgi_007183_01
E04,dbgi_007242_01
F04,dbgi_003090_01
G04,dbgi_007226_01
H04,dbgi_007184_01
A05,dbgi_007369_01
B05,dbgi_007321_01
C05,dbgi_007240_01
D05,dbgi_007246_01
E05,dbgi_007399_01
F05,dbgi_007213_01
G05,dbgi_007209_01
H05,dbgi_007219_01
A06,dbgi_007207_01
B06,blk_000040
C06,dbgi_007218_01
D06,dbgi_007227_01
E06,dbgi_003118_01
F06,dbgi_007221_01
G06,dbgi_007447_01
H06,dbgi_007313_01
A07,dbgi_007214_01
B07,dbgi_007275_01
C07,dbgi_007481_01
D07,dbgi_007202_01
E07,dbgi_007254_01
F07,dbgi_007229_01
G07,dbgi_007187_01
H07,dbgi_007238_01
A08,dbgi_007251_01
B08,dbgi_007236_01
C08,dbgi_003207_01
D08,dbgi_003178_01
E08,dbgi_007179_01
F08,dbgi_003182_01
G08,dbgi_007182_01
H08,dbgi_007248_01
A09,dbgi_007215_01
B09,dbgi_007338_01
C09,dbgi_007818_01
D09,dbgi_007606_01
E09,dbgi_007588_01
F09,dbgi_007516_01
G09,dbgi_007708_01
H09,dbgi_007583_01
A10,dbgi_007792_01
B10,dbgi_007643_01
C10,dbgi_007733_01
D10,dbgi_007595_01
E10,dbgi_007738_01
F10,dbgi_008872_01
G10,dbgi_007538_01
H10,dbgi_007597_01
A11,dbgi_007559_01
B11,dbgi_007778_01
C11,dbgi_007659_01
D11,dbgi_007584_01
E11,dbgi_007788_01
F11,dbgi_007503_01
G11,dbgi_008868_01
H11,dbgi_007518_01
A12,dbgi_007780_01
B12,dbgi_007593_01
C12,dbgi_007555_01
D12,dbgi_008876_01
E12,dbgi_008862_01
F12,dbgi_008877_01
G12,dbgi_007638_01
H12,dbgi_007634_01
